"Localidades";"Períodos";"Valor Adicionado Total (Em mil reais correntes)";"Valor Adicionado da Administração Pública (Em mil reais correntes)";"Valor Adicionado na Indústria (Em mil reais correntes)";"Valor Adicionado dos Serviços (Em mil reais correntes)";"Valor Adicionado da Agropecuária (Em mil reais correntes)";"Impostos sobre Produtos Líquidos de Subsídios (Em mil reais correntes)";"Participação da Administração Pública no Total do Valor Adicionado (Em %)";"Participação da Indústria no Total do Valor Adicionado (Em %)";"Participação dos Serviços no Total do Valor Adicionado (Em %)";"Participação da Agropecuária no Total do Valor Adicionado (Em %)";"Cód. IBGE"
"Dois Córregos";"2018";"588664,21";"103304,63";"110360,59";"391140,56";"87163,07";"59222,8";"17,55";"18,75";"66,45";"14,81";3514106
"Dolcinópolis";"2018";"45009,3";"11790,72";"2482,23";"27584,77";"14942,3";"1281,61";"26,2";"5,51";"61,29";"33,2";3514205
"Dourado";"2018";"482665,74";"37897,65";"127731,34";"335829,76";"19104,64";"144514,26";"7,85";"26,46";"69,58";"3,96";3514304
"Dracena";"2018";"1105907,69";"170313,19";"110519,79";"953993,99";"41393,91";"93782,95";"15,4";"9,99";"86,26";"3,74";3514403
"Duartina";"2018";"224645,82";"50710,92";"30393,1";"180598,7";"13654,02";"12633,01";"22,57";"13,53";"80,39";"6,08";3514502
"Dumont";"2018";"204611,71";"37772,71";"58083,19";"127515,56";"19012,96";"24379,04";"18,46";"28,39";"62,32";"9,29";3514601
"Echaporã";"2018";"121050,34";"26898,67";"7930,41";"74704,54";"38415,39";"4391,68";"22,22";"6,55";"61,71";"31,74";3514700
"Eldorado";"2018";"312581,46";"62475,59";"15867,05";"147365,99";"149348,43";"8560,64";"19,99";"5,08";"47,14";"47,78";3514809
"Elias Fausto";"2018";"609677,61";"74300,74";"249568,56";"291507,99";"68601,06";"97026,84";"12,19";"40,93";"47,81";"11,25";3514908
"Elisiário";"2018";"60691,05";"18343,05";"5327,02";"42733,94";"12630,09";"3045,69";"30,22";"8,78";"70,41";"20,81";3514924
"Embaúba";"2018";"50634,54";"14898,81";"5845,83";"31143,37";"13645,34";"1528,03";"29,42";"11,55";"61,51";"26,95";3514957
"Embu das Artes";"2018";"10531961,99";"951080,48";"1277283,09";"9254405,42";"273,48";"2716231,39";"9,03";"12,13";"87,87";"0";3515004
"Embu-Guaçu";"2018";"971282,03";"250463,69";"221284,79";"748123,56";"1873,68";"150611,45";"25,79";"22,78";"77,02";"0,19";3515103
"Emilianópolis";"2018";"59961,58";"18192,15";"5183,81";"37139,56";"17638,21";"1785,78";"30,34";"8,65";"61,94";"29,42";3515129
"Engenheiro Coelho";"2018";"592891,27";"83616,18";"177618,19";"390915,9";"24357,18";"70423,1";"14,1";"29,96";"65,93";"4,11";3515152
"Espírito Santo do Pinhal";"2018";"1298901,65";"162421,93";"353237,87";"875890,3";"69773,48";"134331,2";"12,5";"27,2";"67,43";"5,37";3515186
"Espírito Santo do Turvo";"2018";"73888,68";"22839,34";"4407,91";"48352,84";"21127,94";"4802,92";"30,91";"5,97";"65,44";"28,59";3515194
"Estiva Gerbi";"2018";"309129,76";"49063,75";"125048,47";"152185,4";"31895,89";"25505,33";"15,87";"40,45";"49,23";"10,32";3557303
"Estrela d'Oeste";"2018";"561045,53";"36248,81";"266199,83";"253950,11";"40895,59";"65067,12";"6,46";"47,45";"45,26";"7,29";3515202
"Estrela do Norte";"2018";"49010,88";"17205";"2984,98";"31239,09";"14786,81";"1579,46";"35,1";"6,09";"63,74";"30,17";3515301
"Euclides da Cunha Paulista";"2018";"154999,67";"38368,81";"8111,81";"81181,82";"65706,04";"4118,25";"24,75";"5,23";"52,38";"42,39";3515350
"Fartura";"2018";"350731,15";"63864";"40466,23";"252876,76";"57388,17";"19897,08";"18,21";"11,54";"72,1";"16,36";3515400
"Fernando Prestes";"2018";"181274,8";"25994,56";"16029,2";"93206,81";"72038,79";"10132,94";"14,34";"8,84";"51,42";"39,74";3515608
"Fernandópolis";"2018";"1849931,25";"263475,32";"258577,97";"1505111,9";"86241,39";"156172,54";"14,24";"13,98";"81,36";"4,66";3515509
"Fernão";"2018";"48616,82";"11986,07";"2509,47";"24422,24";"21685,12";"1412,58";"24,65";"5,16";"50,23";"44,6";3515657
"Ferraz de Vasconcelos";"2018";"2828942,96";"614843,93";"804440,12";"2022746,88";"1755,96";"308997,24";"21,73";"28,44";"71,5";"0,06";3515707
"Flora Rica";"2018";"37266,76";"11834,96";"1780,62";"21589,15";"13896,99";"701,66";"31,76";"4,78";"57,93";"37,29";3515806
"Floreal";"2018";"61811,09";"16929,78";"4659,72";"37073,92";"20077,45";"2167,91";"27,39";"7,54";"59,98";"32,48";3515905
"Flórida Paulista";"2018";"198699,23";"54131,48";"29375,21";"133433,56";"35890,47";"7934,44";"27,24";"14,78";"67,15";"18,06";3516002
"Florínea";"2018";"121564,72";"17442,99";"4697,08";"86736,74";"30130,91";"14526,67";"14,35";"3,86";"71,35";"24,79";3516101
"Franca";"2018";"8974575,5";"1213355,61";"1747214,06";"7143613,27";"83748,18";"1018405,75";"13,52";"19,47";"79,6";"0,93";3516200
"Francisco Morato";"2018";"1442340,39";"557730,58";"110724,38";"1331202,99";"413,02";"74905,01";"38,67";"7,68";"92,29";"0,03";3516309
"Franco da Rocha";"2018";"2710601,48";"503439,55";"839825,77";"1867960,94";"2814,77";"284714,68";"18,57";"30,98";"68,91";"0,1";3516408
"Gabriel Monteiro";"2018";"71207,21";"15275,56";"17022,16";"38552,5";"15632,55";"2911,19";"21,45";"23,91";"54,14";"21,95";3516507
"Gália";"2018";"136135,39";"27965,9";"10003,43";"94276,77";"31855,19";"7039,5";"20,54";"7,35";"69,25";"23,4";3516606
"Garça";"2018";"1090247,57";"167664,73";"178158,58";"818937,2";"93151,79";"102168,17";"15,38";"16,34";"75,11";"8,54";3516705
"Gastão Vidigal";"2018";"73246,87";"20710,29";"4972,49";"48381,24";"19893,15";"3272,07";"28,27";"6,79";"66,05";"27,16";3516804
"Gavião Peixoto";"2018";"787955,75";"29191,35";"585111,48";"175745,5";"27098,77";"99146,37";"3,7";"74,26";"22,3";"3,44";3516853
"General Salgado";"2018";"233366,94";"50691,16";"14235,6";"183663,27";"35468,07";"15136,24";"21,72";"6,1";"78,7";"15,2";3516903
"Getulina";"2018";"179061,45";"44415,09";"7903,95";"110402,62";"60754,89";"6093,7";"24,8";"4,41";"61,66";"33,93";3517000
"Glicério";"2018";"96888,28";"24331,46";"17529,14";"58790,06";"20569,09";"4617,45";"25,11";"18,09";"60,68";"21,23";3517109
"Guaimbê";"2018";"72569,1";"23115,99";"2556,85";"52694,55";"17317,69";"3030,7";"31,85";"3,52";"72,61";"23,86";3517307
"Guaíra";"2018";"2900905,22";"191960,25";"1483461,38";"1211709,38";"205734,45";"348618,84";"6,62";"51,14";"41,77";"7,09";3517406
"Guaiçara";"2018";"181833,04";"46246,68";"29450,29";"120785,89";"31596,86";"14389,36";"25,43";"16,2";"66,43";"17,38";3517208
"Guapiara";"2018";"314845,6";"68042,48";"35328,42";"160678,27";"118838,91";"11548,07";"21,61";"11,22";"51,03";"37,75";3517604
"Guapiaçu";"2018";"499506,85";"79637,86";"150449,38";"294813,03";"54244,43";"49924,63";"15,94";"30,12";"59,02";"10,86";3517505
"Guará";"2018";"416095,76";"88749,72";"72580,17";"291265,26";"52250,33";"23484,92";"21,33";"17,44";"70";"12,56";3517703
"Guaraci";"2018";"300949,68";"54076,36";"54375,52";"150957,51";"95616,65";"28177,32";"17,97";"18,07";"50,16";"31,77";3517901
"Guarani d'Oeste";"2018";"34263,73";"12533,65";"3061,48";"25134,01";"6068,24";"1282,74";"36,58";"8,94";"73,35";"17,71";3518008
"Guarantã";"2018";"165717,72";"29104,4";"20962,22";"83774,27";"60981,23";"8458,45";"17,56";"12,65";"50,55";"36,8";3518107
"Guararapes";"2018";"847122,8";"127907,4";"142847,75";"540948,79";"163326,26";"62831,5";"15,1";"16,86";"63,86";"19,28";3518206
"Guararema";"2018";"1176510,93";"127197,95";"251839,3";"896730,66";"27940,96";"237071,35";"10,81";"21,41";"76,22";"2,37";3518305
"Guaratinguetá";"2018";"4691388,57";"455131,78";"1762714,94";"2902627,01";"26046,63";"980795,56";"9,7";"37,57";"61,87";"0,56";3518404
"Guaraçaí";"2018";"261314,67";"39157,71";"12389,44";"136679,67";"112245,56";"12547,54";"14,98";"4,74";"52,3";"42,95";3517802
"Guareí";"2018";"210884,54";"64220,66";"40222,41";"126722,49";"43939,64";"11897,26";"30,45";"19,07";"60,09";"20,84";3518503
"Guariba";"2018";"823320,06";"154304,56";"202515,11";"574791,17";"46013,78";"76486,44";"18,74";"24,6";"69,81";"5,59";3518602
"Guarujá";"2018";"7493272,42";"1449685,81";"1244105,67";"6214557,07";"34609,68";"1105736,41";"19,35";"16,6";"82,94";"0,46";3518701
"Guarulhos";"2018";"50688740,57";"5445474,1";"11438405,95";"39217764,96";"32569,66";"10636983,92";"10,74";"22,57";"77,37";"0,06";3518800
"Guatapará";"2018";"197292,27";"39568,38";"15254,67";"103754,94";"78282,66";"15567,97";"20,06";"7,73";"52,59";"39,68";3518859
"Guzolândia";"2018";"63677,18";"23491,78";"3958,15";"46066,49";"13652,54";"2143,44";"36,89";"6,22";"72,34";"21,44";3518909
"Herculândia";"2018";"290736,6";"37264,71";"90153,36";"139818,52";"60764,72";"23235,4";"12,82";"31,01";"48,09";"20,9";3519006
"Holambra";"2018";"881317,86";"73102,96";"153553,24";"453512,75";"274251,86";"88734,68";"8,29";"17,42";"51,46";"31,12";3519055
"Hortolândia";"2018";"10631578,5";"920177,97";"3905025,89";"6725536,46";"1016,16";"2484814,52";"8,66";"36,73";"63,26";"0,01";3519071
"Iacanga";"2018";"379831,37";"51698,53";"40115,24";"274330,68";"65385,46";"48124,09";"13,61";"10,56";"72,22";"17,21";3519105
"Iacri";"2018";"179027,91";"25641,4";"18114,82";"90071,95";"70841,15";"12413,51";"14,32";"10,12";"50,31";"39,57";3519204
"Iaras";"2018";"142613,25";"35749,02";"8878,11";"92239,42";"41495,71";"9922,33";"25,07";"6,23";"64,68";"29,1";3519253
"Ibaté";"2018";"772485,92";"129715,44";"244374,32";"491702,86";"36408,73";"76708,5";"16,79";"31,63";"63,65";"4,71";3519303
"Ibirá";"2018";"238045,49";"51787,63";"42377,75";"158715,34";"36952,4";"13060,85";"21,76";"17,8";"66,67";"15,52";3519402
"Ibirarema";"2018";"165749,38";"29218,02";"19851,56";"112601,63";"33296,18";"17787,92";"17,63";"11,98";"67,93";"20,09";3519501
"Ibitinga";"2018";"1400391,73";"211971,28";"371003,22";"941482,98";"87905,53";"123365,61";"15,14";"26,49";"67,23";"6,28";3519600
"Ibiúna";"2018";"1569105,91";"297035,28";"277808,19";"1025370,02";"265927,7";"132818,52";"18,93";"17,7";"65,35";"16,95";3519709
"Icém";"2018";"168521,43";"39435,09";"36780,07";"113816,93";"17924,44";"5269,23";"23,4";"21,83";"67,54";"10,64";3519808
"Iepê";"2018";"217325,95";"38809,81";"13403,93";"164164,71";"39757,3";"29933,22";"17,86";"6,17";"75,54";"18,29";3519907
"Igarapava";"2018";"1032313,3";"115472,98";"166275,64";"798993,09";"67044,56";"147360,08";"11,19";"16,11";"77,4";"6,49";3520103
"Igaratá";"2018";"162754,87";"44623,75";"19239,88";"141893,39";"1621,6";"17887,52";"27,42";"11,82";"87,18";"1";3520202
"Igaraçu do Tietê";"2018";"286788,27";"89065,42";"18226,89";"256616,7";"11944,68";"16636,89";"31,06";"6,36";"89,48";"4,16";3520004
"Iguape";"2018";"1147359";"127464,99";"546010,56";"523934,02";"77414,41";"22460,8";"11,11";"47,59";"45,66";"6,75";3520301
"Ilha Comprida";"2018";"1327652,3";"87401,05";"854689,74";"469133,9";"3828,66";"12315,9";"6,58";"64,38";"35,34";"0,29";3520426
"Ilha Solteira";"2018";"593388,28";"130284,85";"33216,72";"509307,59";"50863,97";"31954,59";"21,96";"5,6";"85,83";"8,57";3520442
"Ilhabela";"2018";"14281129,41";"250099,07";"10150556,08";"4127581,94";"2991,39";"120095,19";"1,75";"71,08";"28,9";"0,02";3520400
"Indaiatuba";"2018";"12337190,94";"1030186,95";"4701155,85";"7607660,59";"28374,5";"3259114,31";"8,35";"38,11";"61,66";"0,23";3520509
"Indiana";"2018";"61590,72";"21485,06";"3141,71";"47893,74";"10555,27";"2539,34";"34,88";"5,1";"77,76";"17,14";3520608
"Indiaporã";"2018";"91519,11";"20216,01";"5610,92";"62211,31";"23696,88";"4030,89";"22,09";"6,13";"67,98";"25,89";3520707
"Inúbia Paulista";"2018";"123880,4";"19805,57";"6889,24";"109335";"7656,16";"14381,13";"15,99";"5,56";"88,26";"6,18";3520806
"Ipaussu";"2018";"341967,52";"62253,98";"87367,75";"224925,61";"29674,16";"31043,27";"18,2";"25,55";"65,77";"8,68";3520905
"Iperó";"2018";"568386,91";"133580,55";"171280,81";"384585,15";"12520,94";"80045,6";"23,5";"30,13";"67,66";"2,2";3521002
"Ipeúna";"2018";"622743,4";"32232,9";"389940,56";"215923,77";"16879,06";"73549,88";"5,18";"62,62";"34,67";"2,71";3521101
"Ipiguá";"2018";"98074,08";"23482,5";"18339,71";"55943,07";"23791,31";"9391,77";"23,94";"18,7";"57,04";"24,26";3521150
"Iporanga";"2018";"49622,41";"23229,93";"2394,86";"41775,76";"5451,79";"1652,04";"46,81";"4,83";"84,19";"10,99";3521200
"Ipuã";"2018";"336651,63";"72477,09";"38204,21";"230266,89";"68180,53";"22201,32";"21,53";"11,35";"68,4";"20,25";3521309
"Iracemápolis";"2018";"1352021,75";"98610,98";"675746,89";"659340,39";"16934,47";"638575,41";"7,29";"49,98";"48,77";"1,25";3521408
"Irapuã";"2018";"152474,08";"31375,38";"9411,47";"81560,29";"61502,32";"4271,74";"20,58";"6,17";"53,49";"40,34";3521507
"Irapuru";"2018";"84654,13";"29982,39";"2503,08";"68220,7";"13930,36";"3406,9";"35,42";"2,96";"80,59";"16,46";3521606
"Itaberá";"2018";"484669,24";"69985,69";"26423,36";"314846,71";"143399,16";"36792,38";"14,44";"5,45";"64,96";"29,59";3521705
"Itaí";"2018";"558590,3";"114384,36";"52488,07";"361074,93";"145027,3";"42477,45";"20,48";"9,4";"64,64";"25,96";3521804
"Itajobi";"2018";"1447539,69";"68874,11";"709159,47";"526411,28";"211968,94";"151769,22";"4,76";"48,99";"36,37";"14,64";3521903
"Itaju";"2018";"82023,1";"19567,77";"10584,05";"46475,37";"24963,69";"5300,49";"23,86";"12,9";"56,66";"30,43";3522000
"Itanhaém";"2018";"1784478,94";"459241";"138402,63";"1607431,12";"38645,19";"101151,99";"25,74";"7,76";"90,08";"2,17";3522109
"Itaoca";"2018";"39559,59";"16391,43";"6960,82";"28920,98";"3677,8";"1739";"41,43";"17,6";"73,11";"9,3";3522158
"Itapecerica da Serra";"2018";"3250843,2";"613617,25";"697122,68";"2538247,64";"15472,89";"410094,98";"18,88";"21,44";"78,08";"0,48";3522208
"Itapetininga";"2018";"4254582,86";"587587,69";"1046454,94";"2962577,83";"245550,09";"499565,59";"13,81";"24,6";"69,63";"5,77";3522307
"Itapeva";"2018";"2349074,47";"376547,25";"258045,51";"1552983,72";"538045,25";"172899,94";"16,03";"10,98";"66,11";"22,9";3522406
"Itapevi";"2018";"10032247,08";"863301,25";"2576306,75";"7455689,65";"250,69";"2139813,54";"8,61";"25,68";"74,32";"0";3522505
"Itapira";"2018";"3435152,48";"306410,94";"1517714,58";"1863505,76";"53932,14";"470399,71";"8,92";"44,18";"54,25";"1,57";3522604
"Itapirapuã Paulista";"2018";"40566,34";"20766,87";"1892,67";"36089,99";"2583,68";"1541,5";"51,19";"4,67";"88,97";"6,37";3522653
"Itápolis";"2018";"1197413,01";"162621,77";"233954,69";"790626,3";"172832,02";"111339,48";"13,58";"19,54";"66,03";"14,43";3522703
"Itaporanga";"2018";"290410,28";"57765,57";"12339,19";"245126,52";"32944,57";"30692,14";"19,89";"4,25";"84,41";"11,34";3522802
"Itapuí";"2018";"560152,33";"56154,01";"203933,03";"339640,82";"16578,48";"105259,7";"10,02";"36,41";"60,63";"2,96";3522901
"Itapura";"2018";"88436,96";"26230,78";"4092,55";"54276,17";"30068,24";"3070,97";"29,66";"4,63";"61,37";"34";3523008
"Itaquaquecetuba";"2018";"6279476,83";"1205895,66";"1642942,12";"4627506";"9028,71";"933082,84";"19,2";"26,16";"73,69";"0,14";3523107
"Itararé";"2018";"817456,18";"179450,17";"89940,43";"652700,2";"74815,55";"61427,88";"21,95";"11";"79,85";"9,15";3523206
"Itariri";"2018";"266230,66";"62130,65";"12012,95";"153525,71";"100692,01";"9943,5";"23,34";"4,51";"57,67";"37,82";3523305
"Itatiba";"2018";"4947817,56";"480747,19";"1703452,22";"2737889,88";"506475,46";"1103366,38";"9,72";"34,43";"55,34";"10,24";3523404
"Itatinga";"2018";"381482,74";"80202,75";"78420,01";"225076,58";"77986,15";"28910,27";"21,02";"20,56";"59";"20,44";3523503
"Itirapina";"2018";"351405,24";"83113,91";"36321,86";"267481,07";"47602,31";"59781,53";"23,65";"10,34";"76,12";"13,55";3523602
"Itirapuã";"2018";"96490,15";"27616,03";"7974,49";"60850,59";"27665,08";"2083,68";"28,62";"8,26";"63,06";"28,67";3523701
"Itobi";"2018";"117271,71";"26917,9";"9820,1";"84933,51";"22518,09";"7534,96";"22,95";"8,37";"72,42";"19,2";3523800
"Itu";"2018";"6335047";"701045,68";"1832248,11";"4468110,02";"34688,88";"1496451,16";"11,07";"28,92";"70,53";"0,55";3523909
"Itupeva";"2018";"5322693,84";"301663,39";"2471217,17";"2823635,13";"27841,55";"1367492,63";"5,67";"46,43";"53,05";"0,52";3524006
"Ituverava";"2018";"1347566,73";"175251,19";"358525,28";"847696,85";"141344,6";"177055,23";"13,01";"26,61";"62,91";"10,49";3524105
"Jaborandi";"2018";"133188,91";"31349,98";"7825,56";"79249,06";"46114,3";"4659,86";"23,54";"5,88";"59,5";"34,62";3524204
"Jaboticabal";"2018";"2620873,32";"324605,24";"568721,21";"1885387,65";"166764,47";"285973,88";"12,39";"21,7";"71,94";"6,36";3524303
"Jacareí";"2018";"10258591,32";"863324,85";"4003768,24";"6231951,98";"22871,1";"2446801,35";"8,42";"39,03";"60,75";"0,22";3524402
"Jaci";"2018";"340381";"29389,36";"151863,52";"163017,88";"25499,6";"52799,48";"8,63";"44,62";"47,89";"7,49";3524501
"Jacupiranga";"2018";"495153,52";"67927,9";"35856,21";"325472,56";"133824,74";"35270,83";"13,72";"7,24";"65,73";"27,03";3524600
"Jaguariúna";"2018";"8864186,3";"291781,02";"3165981,93";"5685960,3";"12244,07";"2665657,62";"3,29";"35,72";"64,15";"0,14";3524709
"Jales";"2018";"1425625,7";"181030,69";"234720,45";"1124545,8";"66359,45";"120950,38";"12,7";"16,46";"78,88";"4,65";3524808
"Jambeiro";"2018";"183476,51";"32883,97";"89190,64";"89848,1";"4437,78";"54873,16";"17,92";"48,61";"48,97";"2,42";3524907
"Jandira";"2018";"3190201,38";"430664,62";"895960,41";"2293739,59";"501,37";"824509,96";"13,5";"28,08";"71,9";"0,02";3525003
"Jardinópolis";"2018";"975600,68";"186348,09";"143621,98";"762187,34";"69791,36";"121384,75";"19,1";"14,72";"78,12";"7,15";3525102
"Jarinu";"2018";"2109509,43";"157842,1";"417800,39";"1658110,4";"33598,64";"400773,16";"7,48";"19,81";"78,6";"1,59";3525201
"Jaú";"2018";"4266924,2";"539978,17";"753165,61";"3434628,85";"79129,74";"466175,91";"12,65";"17,65";"80,49";"1,85";3525300
"Jeriquara";"2018";"80753,9";"17647,71";"6217,71";"41173,28";"33362,91";"1631,95";"21,85";"7,7";"50,99";"41,31";3525409
"Joanópolis";"2018";"202546,89";"50816,98";"12658,37";"170553,3";"19335,23";"10458,33";"25,09";"6,25";"84,2";"9,55";3525508
"João Ramalho";"2018";"117559,5";"22788,11";"2939,4";"53664,11";"60955,98";"3315";"19,38";"2,5";"45,65";"51,85";3525607
"José Bonifácio";"2018";"1211508,99";"153762,17";"340894,07";"755757,35";"114857,57";"109233,14";"12,69";"28,14";"62,38";"9,48";3525706
"Júlio Mesquita";"2018";"49264,75";"21229,66";"1283,21";"42120,73";"5860,81";"1862,1";"43,09";"2,6";"85,5";"11,9";3525805
"Jumirim";"2018";"115090,07";"16957,76";"51260,68";"51748,22";"12081,17";"16421,26";"14,73";"44,54";"44,96";"10,5";3525854
"Jundiaí";"2018";"35246672,05";"2007109,3";"8459357,01";"26677067,37";"110247,68";"8386218,48";"5,69";"24";"75,69";"0,31";3525904
"Junqueirópolis";"2018";"523193,55";"80458,6";"97658,58";"368545,26";"56989,71";"52947,35";"15,38";"18,67";"70,44";"10,89";3526001
"Juquiá";"2018";"314183,53";"73664,41";"22165,74";"207386,32";"84631,47";"14715,37";"23,45";"7,06";"66,01";"26,94";3526100
"Juquitiba";"2018";"468928,94";"114133,17";"50112,01";"418152,78";"664,16";"44974,74";"24,34";"10,69";"89,17";"0,14";3526209
"Lagoinha";"2018";"54576,28";"21231,78";"3230,5";"44830,09";"6515,69";"2014,46";"38,9";"5,92";"82,14";"11,94";3526308
"Laranjal Paulista";"2018";"967218,2";"112328,89";"405931,62";"529673,79";"31612,79";"145361,88";"11,61";"41,97";"54,76";"3,27";3526407
"Lavínia";"2018";"151313,08";"46510,11";"4381,54";"91544,61";"55386,93";"6201,85";"30,74";"2,9";"60,5";"36,6";3526506
"Lavrinhas";"2018";"99569,41";"30944,11";"25745,46";"70256,77";"3567,17";"10387,12";"31,08";"25,86";"70,56";"3,58";3526605
"Leme";"2018";"2799637,58";"393844,17";"816072,8";"1916600,49";"66964,29";"407964,51";"14,07";"29,15";"68,46";"2,39";3526704
"Lençóis Paulista";"2018";"2317764,68";"278083,12";"709586,24";"1519593,08";"88585,36";"321297,32";"12";"30,62";"65,56";"3,82";3526803
"Limeira";"2018";"11245362,53";"1142119,89";"4101580,68";"7068450,09";"75331,76";"1946662,27";"10,16";"36,47";"62,86";"0,67";3526902
"Lindóia";"2018";"167026,87";"35011,41";"50126,07";"111594,35";"5306,45";"15297,76";"20,96";"30,01";"66,81";"3,18";3527009
"Lins";"2018";"3427621,93";"261311,83";"1412887,96";"1921812,88";"92921,09";"357743,6";"7,62";"41,22";"56,07";"2,71";3527108
"Lorena";"2018";"2502021,52";"312014,7";"761099,89";"1731816,06";"9105,56";"324696,45";"12,47";"30,42";"69,22";"0,36";3527207
"Lourdes";"2018";"38709,82";"13840,91";"2136,96";"26405,42";"10167,45";"1338,2";"35,76";"5,52";"68,21";"26,27";3527256
"Louveira";"2018";"8594529,01";"307792,41";"1677715,04";"6885530,39";"31283,59";"2368922,7";"3,58";"19,52";"80,12";"0,36";3527306
"Lucélia";"2018";"397684,43";"83111,91";"93984,14";"280631,72";"23068,57";"43485,79";"20,9";"23,63";"70,57";"5,8";3527405
"Lucianópolis";"2018";"55261,6";"15266,03";"3224,47";"31549,14";"20487,99";"1743,91";"27,63";"5,83";"57,09";"37,07";3527504
"Luís Antônio";"2018";"1359773,48";"74612,08";"870925,03";"407485,97";"81362,48";"149529";"5,49";"64,05";"29,97";"5,98";3527603
"Luiziânia";"2018";"69829,31";"23252,32";"3876,11";"49535,82";"16417,38";"1917,45";"33,3";"5,55";"70,94";"23,51";3527702
"Lupércio";"2018";"74153,57";"20868,77";"12100,14";"49931,45";"12121,98";"3204,33";"28,14";"16,32";"67,34";"16,35";3527801
"Lutécia";"2018";"83005,94";"16136,19";"7758,03";"34930,34";"40317,57";"2258,89";"19,44";"9,35";"42,08";"48,57";3527900
"Macatuba";"2018";"548463,73";"72626,09";"51553,37";"456335,95";"40574,4";"79903,99";"13,24";"9,4";"83,2";"7,4";3528007
"Macaubal";"2018";"146804,55";"32118,99";"6034,83";"107819,3";"32950,43";"7945,61";"21,88";"4,11";"73,44";"22,45";3528106
"Macedônia";"2018";"76010,6";"18773,45";"6877,68";"39941,06";"29191,87";"2561,72";"24,7";"9,05";"52,55";"38,4";3528205
"Magda";"2018";"89382,42";"20117,24";"5145,69";"52645,68";"31591,05";"4177,9";"22,51";"5,76";"58,9";"35,34";3528304
