"Localidades";"Períodos";"Valor Adicionado Total (Em mil reais correntes)";"Valor Adicionado da Administração Pública (Em mil reais correntes)";"Valor Adicionado na Indústria (Em mil reais correntes)";"Valor Adicionado dos Serviços (Em mil reais correntes)";"Valor Adicionado da Agropecuária (Em mil reais correntes)";"Impostos sobre Produtos Líquidos de Subsídios (Em mil reais correntes)";"Participação da Administração Pública no Total do Valor Adicionado (Em %)";"Participação da Indústria no Total do Valor Adicionado (Em %)";"Participação dos Serviços no Total do Valor Adicionado (Em %)";"Participação da Agropecuária no Total do Valor Adicionado (Em %)";"Cód. IBGE"
"Mairinque";"2018";"1616794,96";"215285,97";"670167,06";"930487,38";"16140,52";"280005,55";"13,32";"41,45";"57,55";"1";3528403
"Mairiporã";"2018";"1564037,75";"338219,24";"338182,96";"1225100,8";"753,99";"184515,47";"21,62";"21,62";"78,33";"0,05";3528502
"Manduri";"2018";"212120,89";"37057,41";"30297,39";"129052,13";"52771,38";"16517,68";"17,47";"14,28";"60,84";"24,88";3528601
"Marabá Paulista";"2018";"99504,21";"30366,23";"3799,05";"52579,23";"43125,93";"2075,26";"30,52";"3,82";"52,84";"43,34";3528700
"Maracaí";"2018";"381795,88";"61265,11";"57382,09";"253095,58";"71318,21";"30638,37";"16,05";"15,03";"66,29";"18,68";3528809
"Marapoama";"2018";"165451,74";"18405,24";"59691,31";"67437,91";"38322,52";"13957,23";"11,12";"36,08";"40,76";"23,16";3528858
"Mariápolis";"2018";"55533,36";"18127,54";"3206,7";"34620,79";"17705,87";"1243,06";"32,64";"5,77";"62,34";"31,88";3528908
"Marília";"2018";"7227802,44";"941700,29";"1184512,38";"5970668,2";"72621,86";"854503,29";"13,03";"16,39";"82,61";"1";3529005
"Marinópolis";"2018";"33772,3";"13204,84";"1880,63";"24891,58";"7000,09";"958,81";"39,1";"5,57";"73,7";"20,73";3529104
"Martinópolis";"2018";"464375,63";"109097,39";"62467,28";"357299,4";"44608,95";"31724,48";"23,49";"13,45";"76,94";"9,61";3529203
"Matão";"2018";"3650123,29";"304007";"1577192,86";"1988019,52";"84910,92";"503865,27";"8,33";"43,21";"54,46";"2,33";3529302
"Mauá";"2018";"13017966,47";"1477456,63";"4989656,8";"8028295,8";"13,88";"2269516,45";"11,35";"38,33";"61,67";"0";3529401
"Mendonça";"2018";"212095,02";"28377,31";"89306,72";"103924,14";"18864,15";"21417,53";"13,38";"42,11";"49";"8,89";3529500
"Meridiano";"2018";"219500,78";"22577,76";"89511,12";"101407,1";"28582,57";"21655,85";"10,29";"40,78";"46,2";"13,02";3529609
"Mesópolis";"2018";"57642,88";"14008,43";"2670,99";"27312,68";"27659,21";"1155,44";"24,3";"4,63";"47,38";"47,98";3529658
"Miguelópolis";"2018";"995384,02";"99464,83";"357467,23";"326799,16";"311117,63";"19889,29";"9,99";"35,91";"32,83";"31,26";3529708
"Mineiros do Tietê";"2018";"160651,91";"47546,83";"24221,22";"117652,65";"18778,05";"11636,11";"29,6";"15,08";"73,23";"11,69";3529807
"Mira Estrela";"2018";"64470,53";"19671,05";"5453,59";"41569,45";"17447,49";"1954,22";"30,51";"8,46";"64,48";"27,06";3530003
"Miracatu";"2018";"363657,9";"80595,27";"24639,63";"293816,56";"45201,7";"28875,82";"22,16";"6,78";"80,79";"12,43";3529906
"Mirandópolis";"2018";"607881,19";"106338,78";"83658,77";"399466,66";"124755,76";"46100,87";"17,49";"13,76";"65,71";"20,52";3530102
"Mirante do Paranapanema";"2018";"321789,38";"70677,61";"76762,82";"190217,7";"54808,86";"24086,77";"21,96";"23,85";"59,11";"17,03";3530201
"Mirassol";"2018";"1619984,65";"231100,95";"397529,94";"1185128,26";"37326,45";"190238,32";"14,27";"24,54";"73,16";"2,3";3530300
"Mirassolândia";"2018";"122070,85";"21506,08";"12815,86";"56063,88";"53191,11";"6502,87";"17,62";"10,5";"45,93";"43,57";3530409
"Mococa";"2018";"1904343,51";"265093,46";"457398,85";"1307102,55";"139842,11";"216271,72";"13,92";"24,02";"68,64";"7,34";3530508
"Mogi das Cruzes";"2018";"13381205,54";"1518292,93";"3399422,38";"9656332,97";"325450,18";"2005293,77";"11,35";"25,4";"72,16";"2,43";3530607
"Mogi Guaçu";"2018";"5120140,04";"608757,79";"1769676";"3159858,26";"190605,79";"753360,03";"11,89";"34,56";"61,71";"3,72";3530706
"Mogi Mirim";"2018";"3878915,04";"437454,64";"1057957,4";"2682572,4";"138385,23";"722655,6";"11,28";"27,27";"69,16";"3,57";3530805
"Mombuca";"2018";"94655,56";"18090,96";"24557,47";"49005,61";"21092,48";"5454,65";"19,11";"25,94";"51,77";"22,28";3530904
"Mongaguá";"2018";"983995,22";"255100,07";"128923,01";"851433,99";"3638,22";"51585,34";"25,92";"13,1";"86,53";"0,37";3531100
"Monte Alegre do Sul";"2018";"167027,19";"36746,42";"19486,89";"109583,03";"37957,28";"11300,42";"22";"11,67";"65,61";"22,73";3531209
"Monte Alto";"2018";"1569508,86";"184684,46";"408555,69";"987541,21";"173411,95";"233310,98";"11,77";"26,03";"62,92";"11,05";3531308
"Monte Aprazível";"2018";"616763,18";"95174,69";"165167,36";"386426,76";"65169,06";"42370,63";"15,43";"26,78";"62,65";"10,57";3531407
"Monte Azul Paulista";"2018";"485236,89";"79045,8";"34945,66";"404746,29";"45544,93";"48797,15";"16,29";"7,2";"83,41";"9,39";3531506
"Monte Castelo";"2018";"96233,77";"21370,84";"6457,98";"58801,51";"30974,28";"6694,51";"22,21";"6,71";"61,1";"32,19";3531605
"Monte Mor";"2018";"2953366,72";"247435,99";"1760346,15";"1137392,21";"55628,36";"532063,14";"8,38";"59,6";"38,51";"1,88";3531803
"Monteiro Lobato";"2018";"61979,35";"19835,69";"7850,24";"51018,71";"3110,4";"3332,98";"32";"12,67";"82,32";"5,02";3531704
"Monções";"2018";"54999,14";"15714,31";"12808,16";"37194,7";"4996,29";"4748,91";"28,57";"23,29";"67,63";"9,08";3531001
"Morro Agudo";"2018";"1088676,18";"141645,11";"291644,24";"587844,74";"209187,2";"87610,73";"13,01";"26,79";"54";"19,21";3531902
"Morungaba";"2018";"393618,55";"54211,39";"179057,19";"198105,4";"16455,96";"62277,65";"13,77";"45,49";"50,33";"4,18";3532009
"Motuca";"2018";"79115,49";"21081,86";"8634,57";"41394,55";"29086,37";"2476";"26,65";"10,91";"52,32";"36,76";3532058
"Murutinga do Sul";"2018";"63000,76";"24679,62";"1770,33";"48436,19";"12794,24";"2308,33";"39,17";"2,81";"76,88";"20,31";3532108
"Nantes";"2018";"108181,86";"20017,89";"2375,48";"79109,49";"26696,89";"11262,76";"18,5";"2,2";"73,13";"24,68";3532157
"Narandiba";"2018";"172803,26";"29256,72";"56795,45";"86662,68";"29345,13";"13138,28";"16,93";"32,87";"50,15";"16,98";3532207
"Natividade da Serra";"2018";"70252,65";"31874,94";"3556,73";"58839,08";"7856,84";"2223,05";"45,37";"5,06";"83,75";"11,18";3532306
"Nazaré Paulista";"2018";"304311,8";"75042,14";"73991,84";"215623,86";"14696,1";"37863,01";"24,66";"24,31";"70,86";"4,83";3532405
"Neves Paulista";"2018";"194102,71";"34341,64";"38362,75";"126493,7";"29246,26";"18311,41";"17,69";"19,76";"65,17";"15,07";3532504
"Nhandeara";"2018";"306153,83";"47350,18";"49976,72";"204332,24";"51844,86";"18243,04";"15,47";"16,32";"66,74";"16,93";3532603
"Nipoã";"2018";"89025,86";"21900,74";"12227,4";"57958,17";"18840,29";"4927,62";"24,6";"13,73";"65,1";"21,16";3532702
"Nova Aliança";"2018";"162958,64";"31080,49";"40624,87";"91647,16";"30686,62";"10332,92";"19,07";"24,93";"56,24";"18,83";3532801
"Nova Campina";"2018";"98717,84";"39520,33";"11729,92";"68172,15";"18815,77";"11436,55";"40,03";"11,88";"69,06";"19,06";3532827
"Nova Canaã Paulista";"2018";"38544,55";"12806,68";"2057,74";"23222,94";"13263,88";"986,79";"33,23";"5,34";"60,25";"34,41";3532843
"Nova Castilho";"2018";"39701,87";"12981,56";"1288,09";"22723,49";"15690,29";"917,64";"32,7";"3,24";"57,24";"39,52";3532868
"Nova Europa";"2018";"258840,09";"48798,18";"100000,99";"145045,95";"13793,16";"21826,37";"18,85";"38,63";"56,04";"5,33";3532900
"Nova Granada";"2018";"409113,9";"75631,15";"28325,88";"280156,49";"100631,52";"25094,39";"18,49";"6,92";"68,48";"24,6";3533007
"Nova Guataporanga";"2018";"30019,68";"12377,08";"1868,33";"24850,13";"3301,21";"1214,11";"41,23";"6,22";"82,78";"11";3533106
"Nova Independência";"2018";"129845,84";"24615,19";"42396,89";"67481,02";"19967,94";"11418,08";"18,96";"32,65";"51,97";"15,38";3533205
"Nova Luzitânia";"2018";"48610,67";"18680,39";"2517,23";"41097,51";"4995,94";"1223,05";"38,43";"5,18";"84,54";"10,28";3533304
"Nova Odessa";"2018";"2994543,38";"247190,56";"996985";"1985055,23";"12503,15";"545975,56";"8,25";"33,29";"66,29";"0,42";3533403
"Novais";"2018";"56370,6";"24057,24";"1576,75";"44340";"10453,85";"1874,4";"42,68";"2,8";"78,66";"18,54";3533254
"Novo Horizonte";"2018";"990024,74";"165987,37";"119363,84";"760435,98";"110224,93";"104901,83";"16,77";"12,06";"76,81";"11,13";3533502
"Nuporanga";"2018";"474246,18";"37307,68";"199744,37";"208893,75";"65608,05";"46615,84";"7,87";"42,12";"44,05";"13,83";3533601
"Ocauçu";"2018";"111803,12";"20695,4";"8683,29";"57344,37";"45775,46";"4120,39";"18,51";"7,77";"51,29";"40,94";3533700
"Óleo";"2018";"82081,11";"14962,56";"4441,86";"31142,03";"46497,22";"1069,42";"18,23";"5,41";"37,94";"56,65";3533809
"Olímpia";"2018";"1842097,97";"222742,79";"463796,24";"1269739,23";"108562,5";"191980,17";"12,09";"25,18";"68,93";"5,89";3533908
"Onda Verde";"2018";"153004,99";"23137,49";"19344,26";"108810,14";"24850,59";"12633,12";"15,12";"12,64";"71,12";"16,24";3534005
"Oriente";"2018";"89678,62";"24387,53";"8808,71";"69486,43";"11383,48";"9859,66";"27,19";"9,82";"77,48";"12,69";3534104
"Orindiúva";"2018";"367226,81";"36192,69";"158857,18";"158957,57";"49412,06";"36946,63";"9,86";"43,26";"43,29";"13,46";3534203
"Orlândia";"2018";"1603877,61";"186828,4";"543249,59";"1016654,91";"43973,1";"231119,64";"11,65";"33,87";"63,39";"2,74";3534302
"Osasco";"2018";"59744658,45";"2720836,75";"3408876,2";"56334825,09";"957,17";"16864387,89";"4,55";"5,71";"94,29";"0";3534401
"Oscar Bressane";"2018";"87752,64";"15193,99";"9853,38";"40647,41";"37251,86";"3057,97";"17,31";"11,23";"46,32";"42,45";3534500
"Osvaldo Cruz";"2018";"771583,03";"110924,59";"203495,07";"537895,2";"30192,76";"77745,93";"14,38";"26,37";"69,71";"3,91";3534609
"Ourinhos";"2018";"2797586,76";"439849,06";"485131,15";"2266972,73";"45482,88";"271820,31";"15,72";"17,34";"81,03";"1,63";3534708
"Ouro Verde";"2018";"108338,12";"36271,94";"6058,96";"80735,61";"21543,55";"3991,1";"33,48";"5,59";"74,52";"19,89";3534807
"Ouroeste";"2018";"380034,22";"68209,46";"127048,7";"215718,66";"37266,85";"41554,51";"17,95";"33,43";"56,76";"9,81";3534757
"Pacaembu";"2018";"294713,36";"53646,2";"8915,93";"262883,69";"22913,74";"9681,71";"18,2";"3,03";"89,2";"7,77";3534906
"Palestina";"2018";"287778,11";"51453,77";"54865,9";"155057,44";"77854,78";"17440,16";"17,88";"19,07";"53,88";"27,05";3535002
"Palmares Paulista";"2018";"117133,49";"44240,6";"6723,78";"101616,86";"8792,85";"5300,76";"37,77";"5,74";"86,75";"7,51";3535101
"Palmeira d'Oeste";"2018";"181598,45";"34581,04";"12331,15";"118006,91";"51260,38";"6010,92";"19,04";"6,79";"64,98";"28,23";3535200
"Palmital";"2018";"618265,82";"90935,73";"84539,16";"432609,25";"101117,42";"67540,69";"14,71";"13,67";"69,97";"16,36";3535309
"Panorama";"2018";"251116,94";"62725,15";"20939,32";"199072,53";"31105,09";"12900,72";"24,98";"8,34";"79,27";"12,39";3535408
"Paraguaçu Paulista";"2018";"1371843,7";"175698,51";"349895,37";"877751,75";"144196,58";"164188,9";"12,81";"25,51";"63,98";"10,51";3535507
"Paraibuna";"2018";"257551,99";"77160,31";"52699,55";"195700,32";"9152,12";"21263,31";"29,96";"20,46";"75,98";"3,55";3535606
"Paraíso";"2018";"202936,19";"31026,08";"71615,93";"103578,02";"27742,24";"18786,16";"15,29";"35,29";"51,04";"13,67";3535705
"Paranapanema";"2018";"570980,1";"91317,41";"29159,26";"408127,13";"133693,71";"52767,36";"15,99";"5,11";"71,48";"23,41";3535804
"Paranapuã";"2018";"107762,8";"19894,6";"5781,57";"53947,39";"48033,84";"3856,18";"18,46";"5,37";"50,06";"44,57";3535903
"Parapuã";"2018";"329057,52";"43492,77";"50975,07";"188051,62";"90030,82";"23608,16";"13,22";"15,49";"57,15";"27,36";3536000
"Pardinho";"2018";"277861,42";"32865,17";"64720,27";"181305,11";"31836,04";"23949,93";"11,83";"23,29";"65,25";"11,46";3536109
"Pariquera-Açu";"2018";"467598,02";"71227,34";"30558,16";"369113,11";"67926,75";"39785,65";"15,23";"6,54";"78,94";"14,53";3536208
"Parisi";"2018";"65244,65";"14152,09";"3512,12";"31231,82";"30500,71";"1596,95";"21,69";"5,38";"47,87";"46,75";3536257
"Patrocínio Paulista";"2018";"803110,35";"60525,13";"291451,69";"325601,15";"186057,51";"80138,21";"7,54";"36,29";"40,54";"23,17";3536307
"Paulicéia";"2018";"143501,33";"35231,86";"16483,81";"99992,45";"27025,07";"7108,96";"24,55";"11,49";"69,68";"18,83";3536406
"Paulínia";"2018";"27050182,21";"1081362,96";"14312815,45";"12714981,6";"22385,17";"5640696,25";"4";"52,91";"47,01";"0,08";3536505
"Paulistânia";"2018";"38959,43";"14582,41";"1683,25";"24679,23";"12596,95";"2134,04";"37,43";"4,32";"63,35";"32,33";3536570
"Paulo de Faria";"2018";"262087,52";"39471,24";"14156,11";"112099,78";"135831,64";"6799,79";"15,06";"5,4";"42,77";"51,83";3536604
"Pederneiras";"2018";"1847513,17";"175915,12";"647336,18";"1100911,76";"99265,23";"346217,06";"9,52";"35,04";"59,59";"5,37";3536703
"Pedra Bela";"2018";"80026,35";"25255,95";"5836,68";"59829,02";"14360,65";"3700,07";"31,56";"7,29";"74,76";"17,94";3536802
"Pedranópolis";"2018";"62726,77";"16405,4";"3374,25";"31464,13";"27888,39";"1658,71";"26,15";"5,38";"50,16";"44,46";3536901
"Pedregulho";"2018";"845650,6";"63714,77";"419406,02";"290454,43";"135790,15";"28486,29";"7,53";"49,6";"34,35";"16,06";3537008
"Pedreira";"2018";"1088816,44";"184100,18";"326782,41";"754720,7";"7313,34";"164904,72";"16,91";"30,01";"69,32";"0,67";3537107
"Pedrinhas Paulista";"2018";"124590,66";"18243,52";"9701,26";"97317,7";"17571,7";"12275,01";"14,64";"7,79";"78,11";"14,1";3537156
"Pedro de Toledo";"2018";"136479,28";"45440,02";"7667,84";"104099,52";"24711,91";"7251,12";"33,29";"5,62";"76,27";"18,11";3537206
"Penápolis";"2018";"1540079,39";"246907,68";"306967,15";"1165241,9";"67870,34";"124097,19";"16,03";"19,93";"75,66";"4,41";3537305
"Pereira Barreto";"2018";"681475,74";"107930,79";"30594,84";"577946,97";"72933,93";"76864,8";"15,84";"4,49";"84,81";"10,7";3537404
"Pereiras";"2018";"188717,59";"35087,18";"68672,76";"103338,88";"16705,94";"16337,09";"18,59";"36,39";"54,76";"8,85";3537503
"Peruíbe";"2018";"1455493,84";"289221,73";"268371,85";"1149147,27";"37974,72";"66909,89";"19,87";"18,44";"78,95";"2,61";3537602
"Piacatu";"2018";"88541,37";"25848,48";"6589,37";"64812,69";"17139,31";"3239,98";"29,19";"7,44";"73,2";"19,36";3537701
"Piedade";"2018";"1129293,87";"179840,49";"124699,12";"707976,45";"296618,3";"79368,74";"15,93";"11,04";"62,69";"26,27";3537800
"Pilar do Sul";"2018";"616366,26";"106946,21";"43223,88";"485649,24";"87493,14";"60500,77";"17,35";"7,01";"78,79";"14,19";3537909
"Pindamonhangaba";"2018";"7017205,75";"635907,22";"3097042,43";"3894542,63";"25620,68";"1599736,19";"9,06";"44,13";"55,5";"0,37";3538006
"Pindorama";"2018";"339506,58";"65791,64";"81089,62";"226626,98";"31789,97";"33166,54";"19,38";"23,88";"66,75";"9,36";3538105
"Pinhalzinho";"2018";"244199,37";"55781,43";"30142,88";"181098,93";"32957,56";"18299,98";"22,84";"12,34";"74,16";"13,5";3538204
"Piquerobi";"2018";"52977,98";"19405,72";"4725,06";"38986,16";"9266,76";"2626,58";"36,63";"8,92";"73,59";"17,49";3538303
"Piquete";"2018";"152906,56";"46680,3";"21858,71";"128269,89";"2777,96";"11632,39";"30,53";"14,3";"83,89";"1,82";3538501
"Piracaia";"2018";"439552,62";"105069,55";"71398,67";"347893,44";"20260,51";"36502,43";"23,9";"16,24";"79,15";"4,61";3538600
"Piracicaba";"2018";"20712922,02";"1687262,5";"7695203,46";"12861481,95";"156236,61";"5708149,94";"8,15";"37,15";"62,09";"0,75";3538709
"Piraju";"2018";"695311,51";"114949,95";"91176,54";"550599,66";"53535,31";"46327,33";"16,53";"13,11";"79,19";"7,7";3538808
"Pirajuí";"2018";"450709,21";"90673,36";"34030,4";"321546,76";"95132,06";"21693,48";"20,12";"7,55";"71,34";"21,11";3538907
"Pirangi";"2018";"309909,11";"43885,41";"58242,3";"211723,34";"39943,47";"22878,28";"14,16";"18,79";"68,32";"12,89";3539004
"Pirapora do Bom Jesus";"2018";"419327,75";"82496,24";"162693,46";"256474,76";"159,53";"38100,99";"19,67";"38,8";"61,16";"0,04";3539103
"Pirapozinho";"2018";"836315,68";"104688,05";"345838,81";"463540,47";"26936,41";"114627,22";"12,52";"41,35";"55,43";"3,22";3539202
"Pirassununga";"2018";"2374956,02";"313219,53";"585598,97";"1704846,8";"84510,25";"416660,98";"13,19";"24,66";"71,78";"3,56";3539301
"Piratininga";"2018";"221691,01";"52874,39";"21548,09";"175608,42";"24534,5";"13693,51";"23,85";"9,72";"79,21";"11,07";3539400
"Pitangueiras";"2018";"946386,1";"155151,21";"162127,39";"703788,58";"80470,13";"118151,28";"16,39";"17,13";"74,37";"8,5";3539509
"Planalto";"2018";"144924,15";"28392,41";"43737,69";"75294,93";"25891,53";"10935,11";"19,59";"30,18";"51,95";"17,87";3539608
"Platina";"2018";"88068,51";"20577,03";"9785,77";"41166,67";"37116,08";"6299,15";"23,36";"11,11";"46,74";"42,14";3539707
"Poá";"2018";"2528025,73";"495847,12";"667655,83";"1858296,65";"2073,25";"2132345,56";"19,61";"26,41";"73,51";"0,08";3539806
"Poloni";"2018";"121380,74";"24854,22";"30248,37";"68177,8";"22954,57";"10622,74";"20,48";"24,92";"56,17";"18,91";3539905
"Pompéia";"2018";"1070420,16";"97817,16";"444979,36";"585634,68";"39806,12";"174034,82";"9,14";"41,57";"54,71";"3,72";3540002
"Pongaí";"2018";"78113,11";"17764,52";"4719,54";"48938,54";"24455,03";"3133,21";"22,74";"6,04";"62,65";"31,31";3540101
"Pontal";"2018";"1027684,29";"176331,42";"357022,69";"611547,5";"59114,1";"138298,47";"17,16";"34,74";"59,51";"5,75";3540200
"Pontalinda";"2018";"75081,28";"20861,01";"3685,16";"43834,52";"27561,6";"2824,19";"27,78";"4,91";"58,38";"36,71";3540259
"Pontes Gestal";"2018";"148868,23";"20862,41";"28840,79";"57586,35";"62441,09";"7205,11";"14,01";"19,37";"38,68";"41,94";3540309
"Populina";"2018";"93404,82";"23734,34";"4778,08";"55782";"32844,75";"2801,36";"25,41";"5,12";"59,72";"35,16";3540408
"Porangaba";"2018";"166222,11";"36215,02";"22031,51";"101476,44";"42714,16";"10059,51";"21,79";"13,25";"61,05";"25,7";3540507
"Porto Feliz";"2018";"2054186,57";"240870,11";"631389,88";"1274830,28";"147966,41";"545652,9";"11,73";"30,74";"62,06";"7,2";3540606
"Porto Ferreira";"2018";"1700497,07";"235494,8";"647673,26";"1028015,77";"24808,04";"350656,3";"13,85";"38,09";"60,45";"1,46";3540705
"Potim";"2018";"202977,53";"79485,06";"39823,68";"161895,48";"1258,38";"14440,52";"39,16";"19,62";"79,76";"0,62";3540754
"Potirendaba";"2018";"466010,05";"70589,96";"145963,74";"272383,33";"47662,98";"49149,44";"15,15";"31,32";"58,45";"10,23";3540804
"Pracinha";"2018";"32040,81";"16382,84";"1724,66";"24941,3";"5374,85";"747,66";"51,13";"5,38";"77,84";"16,78";3540853
"Pradópolis";"2018";"763143,71";"95649,16";"358061,12";"380871,94";"24210,65";"101882,69";"12,53";"46,92";"49,91";"3,17";3540903
"Praia Grande";"2018";"6574333,48";"1484077,38";"748660,68";"5821980,88";"3691,92";"467485,01";"22,57";"11,39";"88,56";"0,06";3541000
"Pratânia";"2018";"123593,38";"23374,11";"10512,61";"58919,58";"54161,19";"7619,53";"18,91";"8,51";"47,67";"43,82";3541059
"Presidente Alves";"2018";"70661,77";"18145,4";"3447,61";"44705,67";"22508,49";"2712,28";"25,68";"4,88";"63,27";"31,85";3541109
"Presidente Bernardes";"2018";"251632,91";"59742,56";"16229,06";"205802,63";"29601,22";"18687,39";"23,74";"6,45";"81,79";"11,76";3541208
"Presidente Epitácio";"2018";"797563,04";"157564,2";"127087,29";"624612,06";"45863,69";"54571,71";"19,76";"15,93";"78,32";"5,75";3541307
"Presidente Prudente";"2018";"7139878,66";"829412,36";"962649,83";"6149652,36";"27576,48";"854660,55";"11,62";"13,48";"86,13";"0,39";3541406
"Presidente Venceslau";"2018";"674705,33";"139000,15";"31629,04";"620233,48";"22842,82";"41805,17";"20,6";"4,69";"91,93";"3,39";3541505
"Promissão";"2018";"1475815,8";"163023,81";"673216,33";"732980,14";"69619,32";"150410,48";"11,05";"45,62";"49,67";"4,72";3541604
"Quadra";"2018";"94611,62";"22159,58";"4238,49";"51820,58";"38552,55";"4443,97";"23,42";"4,48";"54,77";"40,75";3541653
"Quatá";"2018";"417965,19";"57862,45";"115593,87";"248776,64";"53594,68";"42281,31";"13,84";"27,66";"59,52";"12,82";3541703
"Queiroz";"2018";"300907,64";"21590,85";"116181,09";"90612,28";"94114,28";"25065,34";"7,18";"38,61";"30,11";"31,28";3541802
"Queluz";"2018";"303986,16";"53525,84";"40980,56";"260267,93";"2737,67";"32320,46";"17,61";"13,48";"85,62";"0,9";3541901
"Quintana";"2018";"159587,36";"26119,46";"51212,54";"86501,72";"21873,1";"13394";"16,37";"32,09";"54,2";"13,71";3542008
"Rafard";"2018";"283211,61";"37590,7";"124310,74";"141860,94";"17039,94";"38842,38";"13,27";"43,89";"50,09";"6,02";3542107
"Rancharia";"2018";"1022307,64";"116293,92";"278235,05";"544366,04";"199706,55";"82751,31";"11,38";"27,22";"53,25";"19,53";3542206
"Redenção da Serra";"2018";"51526,48";"18908,36";"2873,81";"40053,43";"8599,23";"1656,67";"36,7";"5,58";"77,73";"16,69";3542305
"Regente Feijó";"2018";"615610,25";"84790,61";"100772,47";"463701,62";"51136,16";"95037,18";"13,77";"16,37";"75,32";"8,31";3542404
"Reginópolis";"2018";"140156,3";"36163,11";"6025,8";"82833,82";"51296,68";"4856,81";"25,8";"4,3";"59,1";"36,6";3542503
"Registro";"2018";"1760005,35";"218228,36";"152298,51";"1475454,66";"132252,19";"206587,21";"12,4";"8,65";"83,83";"7,51";3542602
"Restinga";"2018";"156582,37";"34052,71";"34025,97";"77914,7";"44641,7";"9454,77";"21,75";"21,73";"49,76";"28,51";3542701
"Ribeira";"2018";"45881,66";"17098,99";"2530,24";"31568,51";"11782,92";"2242,98";"37,27";"5,51";"68,8";"25,68";3542800
"Ribeirão Bonito";"2018";"243762,1";"50282,56";"25352,72";"168521,26";"49888,12";"12420,18";"20,63";"10,4";"69,13";"20,47";3542909
"Ribeirão Branco";"2018";"293235,88";"63982,09";"15015,03";"145254,2";"132966,65";"6676,26";"21,82";"5,12";"49,53";"45,34";3543006
