"Localidades";"Períodos";"Leitos de Internação ";"Leitos de Internação (Coeficiente por mil habitantes)";"Leitos SUS ";"Leitos SUS (Coeficiente por mil habitantes)";"Cód. IBGE"
"Maracaí";"2019";"26";"1,93";"22";"1,63";3528809
"Marapoama";"2019";"-";"-";"-";"-";3528858
"Mariápolis";"2019";"-";"-";"-";"-";3528908
"Marília";"2019";"822";"3,57";"618";"2,69";3529005
"Marinópolis";"2019";"-";"-";"-";"-";3529104
"Martinópolis";"2019";"35";"1,37";"30";"1,18";3529203
"Matão";"2019";"162";"2,03";"96";"1,2";3529302
"Mauá";"2019";"402";"0,88";"189";"0,41";3529401
"Mendonça";"2019";"-";"-";"-";"-";3529500
"Meridiano";"2019";"-";"-";"-";"-";3529609
"Mesópolis";"2019";"-";"-";"-";"-";3529658
"Miguelópolis";"2019";"66";"3,09";"47";"2,2";3529708
"Mineiros do Tietê";"2019";"11";"0,88";"11";"0,88";3529807
"Mira Estrela";"2019";"-";"-";"-";"-";3530003
"Miracatu";"2019";"-";"-";"-";"-";3529906
"Mirandópolis";"2019";"68";"2,38";"68";"2,38";3530102
"Mirante do Paranapanema";"2019";"-";"-";"-";"-";3530201
"Mirassol";"2019";"81";"1,41";"30";"0,52";3530300
"Mirassolândia";"2019";"-";"-";"-";"-";3530409
"Mococa";"2019";"135";"2,02";"88";"1,32";3530508
"Mogi das Cruzes";"2019";"896";"2,09";"600";"1,4";3530607
"Mogi Guaçu";"2019";"333";"2,26";"141";"0,96";3530706
"Mogi Mirim";"2019";"213";"2,36";"114";"1,27";3530805
"Mombuca";"2019";"-";"-";"-";"-";3530904
"Mongaguá";"2019";"36";"0,67";"36";"0,67";3531100
"Monte Alegre do Sul";"2019";"-";"-";"-";"-";3531209
"Monte Alto";"2019";"109";"2,26";"58";"1,2";3531308
"Monte Aprazível";"2019";"80";"3,43";"30";"1,29";3531407
"Monte Azul Paulista";"2019";"70";"3,83";"51";"2,79";3531506
"Monte Castelo";"2019";"-";"-";"-";"-";3531605
"Monte Mor";"2019";"35";"0,6";"26";"0,44";3531803
"Monteiro Lobato";"2019";"-";"-";"-";"-";3531704
"Monções";"2019";"-";"-";"-";"-";3531001
"Morro Agudo";"2019";"45";"1,41";"31";"0,97";3531902
"Morungaba";"2019";"19";"1,45";"9";"0,69";3532009
"Motuca";"2019";"-";"-";"-";"-";3532058
"Murutinga do Sul";"2019";"-";"-";"-";"-";3532108
"Nantes";"2019";"-";"-";"-";"-";3532157
"Narandiba";"2019";"-";"-";"-";"-";3532207
"Natividade da Serra";"2019";"-";"-";"-";"-";3532306
"Nazaré Paulista";"2019";"20";"1,1";"20";"1,1";3532405
"Neves Paulista";"2019";"21";"2,43";"10";"1,16";3532504
"Nhandeara";"2019";"129";"11,96";"35";"3,25";3532603
"Nipoã";"2019";"-";"-";"-";"-";3532702
"Nova Aliança";"2019";"-";"-";"-";"-";3532801
"Nova Campina";"2019";"-";"-";"-";"-";3532827
"Nova Canaã Paulista";"2019";"-";"-";"-";"-";3532843
"Nova Castilho";"2019";"-";"-";"-";"-";3532868
"Nova Europa";"2019";"12";"1,13";"7";"0,66";3532900
"Nova Granada";"2019";"62";"2,99";"19";"0,92";3533007
"Nova Guataporanga";"2019";"-";"-";"-";"-";3533106
"Nova Independência";"2019";"-";"-";"-";"-";3533205
"Nova Luzitânia";"2019";"-";"-";"-";"-";3533304
"Nova Odessa";"2019";"53";"0,92";"53";"0,92";3533403
"Novais";"2019";"-";"-";"-";"-";3533254
"Novo Horizonte";"2019";"105";"2,71";"35";"0,9";3533502
"Nuporanga";"2019";"-";"-";"-";"-";3533601
"Ocauçu";"2019";"-";"-";"-";"-";3533700
"Óleo";"2019";"-";"-";"-";"-";3533809
"Olímpia";"2019";"79";"1,51";"42";"0,8";3533908
"Onda Verde";"2019";"-";"-";"-";"-";3534005
"Oriente";"2019";"-";"-";"-";"-";3534104
"Orindiúva";"2019";"-";"-";"-";"-";3534203
"Orlândia";"2019";"98";"2,33";"60";"1,43";3534302
"Osasco";"2019";"878";"1,29";"578";"0,85";3534401
"Oscar Bressane";"2019";"-";"-";"-";"-";3534500
"Osvaldo Cruz";"2019";"77";"2,47";"53";"1,7";3534609
"Ourinhos";"2019";"166";"1,51";"83";"0,76";3534708
"Ouro Verde";"2019";"-";"-";"-";"-";3534807
"Ouroeste";"2019";"33";"3,42";"28";"2,9";3534757
"Pacaembu";"2019";"37";"2,83";"32";"2,45";3534906
"Palestina";"2019";"-";"-";"-";"-";3535002
"Palmares Paulista";"2019";"-";"-";"-";"-";3535101
"Palmeira d'Oeste";"2019";"20";"2,18";"10";"1,09";3535200
"Palmital";"2019";"54";"2,5";"36";"1,67";3535309
"Panorama";"2019";"36";"2,38";"35";"2,31";3535408
"Paraguaçu Paulista";"2019";"97";"2,2";"78";"1,77";3535507
"Paraibuna";"2019";"-";"-";"-";"-";3535606
"Paraíso";"2019";"-";"-";"-";"-";3535705
"Paranapanema";"2019";"30";"1,52";"30";"1,52";3535804
"Paranapuã";"2019";"-";"-";"-";"-";3535903
"Parapuã";"2019";"32";"3,04";"26";"2,47";3536000
"Pardinho";"2019";"-";"-";"-";"-";3536109
"Pariquera-Açu";"2019";"150";"7,82";"150";"7,82";3536208
"Parisi";"2019";"-";"-";"-";"-";3536257
"Patrocínio Paulista";"2019";"35";"2,44";"23";"1,61";3536307
"Paulicéia";"2019";"-";"-";"-";"-";3536406
"Paulínia";"2019";"97";"0,94";"97";"0,94";3536505
"Paulistânia";"2019";"-";"-";"-";"-";3536570
"Paulo de Faria";"2019";"24";"2,82";"18";"2,11";3536604
"Pederneiras";"2019";"72";"1,59";"52";"1,15";3536703
"Pedra Bela";"2019";"-";"-";"-";"-";3536802
"Pedranópolis";"2019";"-";"-";"-";"-";3536901
"Pedregulho";"2019";"64";"3,95";"55";"3,39";3537008
"Pedreira";"2019";"98";"2,13";"98";"2,13";3537107
"Pedrinhas Paulista";"2019";"-";"-";"-";"-";3537156
"Pedro de Toledo";"2019";"-";"-";"-";"-";3537206
"Penápolis";"2019";"200";"3,3";"173";"2,86";3537305
"Pereira Barreto";"2019";"52";"2,05";"47";"1,85";3537404
"Pereiras";"2019";"-";"-";"-";"-";3537503
"Peruíbe";"2019";"14";"0,21";"14";"0,21";3537602
"Piacatu";"2019";"-";"-";"-";"-";3537701
"Piedade";"2019";"60";"1,12";"50";"0,94";3537800
"Pilar do Sul";"2019";"35";"1,25";"27";"0,96";3537909
"Pindamonhangaba";"2019";"254";"1,57";"127";"0,78";3538006
"Pindorama";"2019";"-";"-";"-";"-";3538105
"Pinhalzinho";"2019";"-";"-";"-";"-";3538204
"Piquerobi";"2019";"-";"-";"-";"-";3538303
"Piquete";"2019";"-";"-";"-";"-";3538501
"Piracaia";"2019";"37";"1,41";"29";"1,11";3538600
"Piracicaba";"2019";"711";"1,83";"331";"0,85";3538709
"Piraju";"2019";"77";"2,69";"58";"2,03";3538808
"Pirajuí";"2019";"288";"12,4";"67";"2,88";3538907
"Pirangi";"2019";"41";"3,79";"9";"0,83";3539004
"Pirapora do Bom Jesus";"2019";"-";"-";"-";"-";3539103
"Pirapozinho";"2019";"-";"-";"-";"-";3539202
"Pirassununga";"2019";"151";"2,06";"57";"0,78";3539301
"Piratininga";"2019";"28";"2,14";"25";"1,91";3539400
"Pitangueiras";"2019";"50";"1,31";"32";"0,84";3539509
"Planalto";"2019";"-";"-";"-";"-";3539608
"Platina";"2019";"-";"-";"-";"-";3539707
"Poá";"2019";"36";"0,31";"36";"0,31";3539806
"Poloni";"2019";"-";"-";"-";"-";3539905
"Pompéia";"2019";"19";"0,9";"14";"0,66";3540002
"Pongaí";"2019";"-";"-";"-";"-";3540101
"Pontal";"2019";"45";"0,93";"29";"0,6";3540200
"Pontalinda";"2019";"-";"-";"-";"-";3540259
"Pontes Gestal";"2019";"-";"-";"-";"-";3540309
"Populina";"2019";"18";"4,48";"7";"1,74";3540408
"Porangaba";"2019";"-";"-";"-";"-";3540507
"Porto Feliz";"2019";"51";"0,99";"39";"0,76";3540606
"Porto Ferreira";"2019";"55";"1,02";"33";"0,61";3540705
"Potim";"2019";"-";"-";"-";"-";3540754
"Potirendaba";"2019";"31";"1,88";"27";"1,64";3540804
"Pracinha";"2019";"-";"-";"-";"-";3540853
"Pradópolis";"2019";"-";"-";"-";"-";3540903
"Praia Grande";"2019";"212";"0,68";"199";"0,64";3541000
"Pratânia";"2019";"-";"-";"-";"-";3541059
"Presidente Alves";"2019";"-";"-";"-";"-";3541109
"Presidente Bernardes";"2019";"51";"3,72";"40";"2,92";3541208
"Presidente Epitácio";"2019";"78";"1,84";"68";"1,61";3541307
"Presidente Prudente";"2019";"1165";"5,3";"689";"3,13";3541406
"Presidente Venceslau";"2019";"96";"2,53";"60";"1,58";3541505
"Promissão";"2019";"37";"0,94";"37";"0,94";3541604
"Quadra";"2019";"-";"-";"-";"-";3541653
"Quatá";"2019";"-";"-";"-";"-";3541703
"Queiroz";"2019";"-";"-";"-";"-";3541802
"Queluz";"2019";"38";"3,03";"38";"3,03";3541901
"Quintana";"2019";"-";"-";"-";"-";3542008
"Rafard";"2019";"-";"-";"-";"-";3542107
"Rancharia";"2019";"103";"3,57";"71";"2,46";3542206
"Redenção da Serra";"2019";"-";"-";"-";"-";3542305
"Regente Feijó";"2019";"16";"0,82";"13";"0,67";3542404
"Reginópolis";"2019";"-";"-";"-";"-";3542503
"Registro";"2019";"181";"3,34";"128";"2,36";3542602
"Restinga";"2019";"-";"-";"-";"-";3542701
"Ribeira";"2019";"-";"-";"-";"-";3542800
"Ribeirão Bonito";"2019";"17";"1,32";"11";"0,85";3542909
"Ribeirão Branco";"2019";"36";"2,03";"35";"1,98";3543006
"Ribeirão Corrente";"2019";"-";"-";"-";"-";3543105
"Ribeirão do Sul";"2019";"-";"-";"-";"-";3543204
"Ribeirão dos Índios";"2019";"-";"-";"-";"-";3543238
"Ribeirão Grande";"2019";"-";"-";"-";"-";3543253
"Ribeirão Pires";"2019";"164";"1,38";"50";"0,42";3543303
"Ribeirão Preto";"2019";"2183";"3,23";"1388";"2,05";3543402
"Rifaina";"2019";"-";"-";"-";"-";3543600
"Rincão";"2019";"-";"-";"-";"-";3543709
"Rinópolis";"2019";"23";"2,36";"20";"2,05";3543808
"Rio Claro";"2019";"391";"1,96";"188";"0,94";3543907
"Rio das Pedras";"2019";"36";"1,06";"32";"0,94";3544004
"Rio Grande da Serra";"2019";"-";"-";"-";"-";3544103
"Riolândia";"2019";"36";"3,17";"7";"0,62";3544202
"Riversul";"2019";"-";"-";"-";"-";3543501
"Rosana";"2019";"57";"3,08";"57";"3,08";3544251
"Roseira";"2019";"54";"5,12";"14";"1,33";3544301
"Rubiácea";"2019";"-";"-";"-";"-";3544400
"Rubinéia";"2019";"-";"-";"-";"-";3544509
"Sabino";"2019";"-";"-";"-";"-";3544608
"Sagres";"2019";"-";"-";"-";"-";3544707
"Sales";"2019";"-";"-";"-";"-";3544806
"Sales Oliveira";"2019";"30";"2,62";"20";"1,75";3544905
"Salesópolis";"2019";"19";"1,14";"17";"1,02";3545001
"Salmourão";"2019";"-";"-";"-";"-";3545100
"Saltinho";"2019";"-";"-";"-";"-";3545159
"Salto";"2019";"130";"1,14";"82";"0,72";3545209
"Salto de Pirapora";"2019";"48";"1,1";"43";"0,98";3545308
"Salto Grande";"2019";"34";"3,75";"22";"2,43";3545407
"Sandovalina";"2019";"-";"-";"-";"-";3545506
"Santa Adélia";"2019";"24";"1,62";"7";"0,47";3545605
"Santa Albertina";"2019";"-";"-";"-";"-";3545704
"Santa Bárbara d'Oeste";"2019";"160";"0,85";"97";"0,52";3545803
"Santa Branca";"2019";"-";"-";"-";"-";3546009
"Santa Clara d'Oeste";"2019";"-";"-";"-";"-";3546108
"Santa Cruz da Conceição";"2019";"-";"-";"-";"-";3546207
"Santa Cruz da Esperança";"2019";"-";"-";"-";"-";3546256
"Santa Cruz das Palmeiras";"2019";"35";"1,05";"25";"0,75";3546306
"Santa Cruz do Rio Pardo";"2019";"96";"2,09";"55";"1,2";3546405
"Santa Ernestina";"2019";"-";"-";"-";"-";3546504
"Santa Fé do Sul";"2019";"82";"2,68";"57";"1,86";3546603
"Santa Gertrudes";"2019";"-";"-";"-";"-";3546702
"Santa Isabel";"2019";"101";"1,85";"82";"1,5";3546801
"Santa Lúcia";"2019";"-";"-";"-";"-";3546900
"Santa Maria da Serra";"2019";"6";"0,99";"6";"0,99";3547007
"Santa Mercedes";"2019";"-";"-";"-";"-";3547106
"Santa Rita d'Oeste";"2019";"-";"-";"-";"-";3547403
"Santa Rita do Passa Quatro";"2019";"316";"11,97";"293";"11,1";3547502
"Santa Rosa de Viterbo";"2019";"32";"1,26";"21";"0,83";3547601
"Santa Salete";"2019";"-";"-";"-";"-";3547650
"Santana da Ponte Pensa";"2019";"-";"-";"-";"-";3547205
"Santana de Parnaíba";"2019";"30";"0,22";"30";"0,22";3547304
"Santo Anastácio";"2019";"56";"2,78";"37";"1,84";3547700
"Santo André";"2019";"1540";"2,22";"708";"1,02";3547809
"Santo Antônio da Alegria";"2019";"19";"2,88";"19";"2,88";3547908
"Santo Antônio de Posse";"2019";"-";"-";"-";"-";3548005
"Santo Antônio do Aracanguá";"2019";"-";"-";"-";"-";3548054
"Santo Antônio do Jardim";"2019";"-";"-";"-";"-";3548104
"Santo Antônio do Pinhal";"2019";"-";"-";"-";"-";3548203
"Santo Expedito";"2019";"-";"-";"-";"-";3548302
"Santópolis do Aguapeí";"2019";"-";"-";"-";"-";3548401
"Santos";"2019";"1716";"4,01";"858";"2,01";3548500
"São Bento do Sapucaí";"2019";"40";"3,8";"26";"2,47";3548609
"São Bernardo do Campo";"2019";"1583";"1,96";"588";"0,73";3548708
"São Caetano do Sul";"2019";"618";"4,09";"177";"1,17";3548807
"São Carlos";"2019";"436";"1,81";"211";"0,88";3548906
"São Francisco";"2019";"-";"-";"-";"-";3549003
"São João da Boa Vista";"2019";"199";"2,29";"94";"1,08";3549102
"São João das Duas Pontes";"2019";"-";"-";"-";"-";3549201
"São João de Iracema";"2019";"-";"-";"-";"-";3549250
"São João do Pau d'Alho";"2019";"-";"-";"-";"-";3549300
"São Joaquim da Barra";"2019";"115";"2,3";"68";"1,36";3549409
"São José da Bela Vista";"2019";"-";"-";"-";"-";3549508
"São José do Barreiro";"2019";"-";"-";"-";"-";3549607
"São José do Rio Pardo";"2019";"136";"2,56";"81";"1,53";3549706
"São José do Rio Preto";"2019";"1905";"4,29";"886";"1,99";3549805
"São José dos Campos";"2019";"1672";"2,38";"824";"1,17";3549904
"São Lourenço da Serra";"2019";"-";"-";"-";"-";3549953
"São Luiz do Paraitinga";"2019";"25";"2,37";"16";"1,52";3550001
"São Manuel";"2019";"35";"0,89";"31";"0,79";3550100
"São Miguel Arcanjo";"2019";"50";"1,57";"50";"1,57";3550209
"São Paulo";"2019";"28494";"2,41";"14530";"1,23";3550308
"São Pedro";"2019";"62";"1,83";"40";"1,18";3550407
"São Pedro do Turvo";"2019";"-";"-";"-";"-";3550506
"São Roque";"2019";"97";"1,12";"46";"0,53";3550605
"São Sebastião";"2019";"101";"1,18";"93";"1,08";3550704
"São Sebastião da Grama";"2019";"30";"2,51";"26";"2,18";3550803
"São Simão";"2019";"40";"2,7";"32";"2,16";3550902
"São Vicente";"2019";"269";"0,76";"158";"0,44";3551009
"Sarapuí";"2019";"-";"-";"-";"-";3551108
"Sarutaiá";"2019";"-";"-";"-";"-";3551207
"Sebastianópolis do Sul";"2019";"-";"-";"-";"-";3551306
"Serra Azul";"2019";"-";"-";"-";"-";3551405
"Serra Negra";"2019";"49";"1,79";"33";"1,21";3551603
"Serrana";"2019";"125";"2,85";"112";"2,55";3551504
"Sertãozinho";"2019";"162";"1,34";"66";"0,54";3551702
"Sete Barras";"2019";"-";"-";"-";"-";3551801
"Severínia";"2019";"-";"-";"-";"-";3551900
"Silveiras";"2019";"2";"0,32";"2";"0,32";3552007
"Socorro";"2019";"70";"1,81";"63";"1,63";3552106
"Sorocaba";"2019";"1429";"2,19";"853";"1,31";3552205
"Sud Mennucci";"2019";"22";"2,86";"20";"2,6";3552304
"Sumaré";"2019";"177";"0,63";"172";"0,62";3552403
"Suzanápolis";"2019";"-";"-";"-";"-";3552551
"Suzano";"2019";"139";"0,48";"61";"0,21";3552502
"Tabapuã";"2019";"30";"2,53";"11";"0,93";3552601
"Tabatinga";"2019";"35";"2,22";"22";"1,39";3552700
"Taboão da Serra";"2019";"482";"1,72";"321";"1,15";3552809
"Taciba";"2019";"-";"-";"-";"-";3552908
"Taguaí";"2019";"29";"2,22";"24";"1,84";3553005
"Taiaçu";"2019";"-";"-";"-";"-";3553104
"Taiúva";"2019";"4";"0,64";"4";"0,64";3553203
"Tambaú";"2019";"36";"1,58";"25";"1,1";3553302
"Tanabi";"2019";"72";"2,88";"30";"1,2";3553401
"Tapiraí";"2019";"-";"-";"-";"-";3553500
"Tapiratiba";"2019";"16";"1,27";"13";"1,03";3553609
"Taquaral";"2019";"-";"-";"-";"-";3553658
"Taquaritinga";"2019";"124";"2,28";"72";"1,32";3553708
"Taquarituba";"2019";"49";"2,12";"31";"1,34";3553807
"Taquarivaí";"2019";"-";"-";"-";"-";3553856
"Tarabai";"2019";"-";"-";"-";"-";3553906
"Tarumã";"2019";"-";"-";"-";"-";3553955
"Tatuí";"2019";"129";"1,09";"78";"0,66";3554003
"Taubaté";"2019";"509";"1,67";"330";"1,08";3554102
"Tejupá";"2019";"-";"-";"-";"-";3554201
"Teodoro Sampaio";"2019";"58";"2,6";"52";"2,33";3554300
"Terra Roxa";"2019";"34";"3,75";"30";"3,31";3554409
"Tietê";"2019";"55";"1,35";"33";"0,81";3554508
"Timburi";"2019";"-";"-";"-";"-";3554607
"Torre de Pedra";"2019";"-";"-";"-";"-";3554656
"Torrinha";"2019";"20";"2,07";"13";"1,34";3554706
"Trabiju";"2019";"-";"-";"-";"-";3554755
"Tremembé";"2019";"-";"-";"-";"-";3554805
"Três Fronteiras";"2019";"-";"-";"-";"-";3554904
"Tuiuti";"2019";"-";"-";"-";"-";3554953
"Tupã";"2019";"446";"7,09";"330";"5,25";3555000
"Tupi Paulista";"2019";"48";"3,23";"30";"2,02";3555109
"Turiúba";"2019";"-";"-";"-";"-";3555208
"Turmalina";"2019";"-";"-";"-";"-";3555307
"Ubarana";"2019";"-";"-";"-";"-";3555356
"Ubatuba";"2019";"92";"1,05";"74";"0,84";3555406
"Ubirajara";"2019";"-";"-";"-";"-";3555505
"Uchoa";"2019";"-";"-";"-";"-";3555604
"União Paulista";"2019";"-";"-";"-";"-";3555703
"Urânia";"2019";"26";"3,01";"24";"2,78";3555802
"Uru";"2019";"-";"-";"-";"-";3555901
"Urupês";"2019";"34";"2,59";"11";"0,84";3556008
"Valentim Gentil";"2019";"-";"-";"-";"-";3556107
"Valinhos";"2019";"142";"1,15";"57";"0,46";3556206
"Valparaíso";"2019";"55";"2,31";"31";"1,3";3556305
"Vargem";"2019";"-";"-";"-";"-";3556354
"Vargem Grande do Sul";"2019";"50";"1,21";"31";"0,75";3556404
"Vargem Grande Paulista";"2019";"70";"1,35";"2";"0,04";3556453
"Várzea Paulista";"2019";"39";"0,33";"31";"0,26";3556503
"Vera Cruz";"2019";"72";"6,83";"-";"-";3556602
"Vinhedo";"2019";"85";"1,12";"62";"0,81";3556701
"Viradouro";"2019";"48";"2,63";"30";"1,64";3556800
"Vista Alegre do Alto";"2019";"-";"-";"-";"-";3556909
"Vitória Brasil";"2019";"-";"-";"-";"-";3556958
"Votorantim";"2019";"212";"1,79";"53";"0,45";3557006
"Votuporanga";"2019";"205";"2,25";"115";"1,26";3557105
"Zacarias";"2019";"-";"-";"-";"-";3557154
