"Localidades";"Períodos";"Empregos Formais ";"Empregos Formais de Homens ";"Empregos Formais de Mulheres ";"Cód. IBGE"
"Adamantina";"2018";"10445";"5422";"5023";3500105
"Adolfo";"2018";"854";"472";"382";3500204
"Aguaí";"2018";"6984";"4372";"2612";3500303
"Águas da Prata";"2018";"983";"550";"433";3500402
"Águas de Lindóia";"2018";"4605";"2522";"2083";3500501
"Águas de Santa Bárbara";"2018";"1525";"965";"560";3500550
"Águas de São Pedro";"2018";"1316";"633";"683";3500600
"Agudos";"2018";"8522";"4987";"3535";3500709
"Alambari";"2018";"973";"516";"457";3500758
"Alfredo Marcondes";"2018";"911";"556";"355";3500808
"Altair";"2018";"712";"525";"187";3500907
"Altinópolis";"2018";"3792";"2465";"1327";3501004
"Alto Alegre";"2018";"493";"284";"209";3501103
"Alumínio";"2018";"6331";"5091";"1240";3501152
"Álvares Florence";"2018";"480";"238";"242";3501202
"Álvares Machado";"2018";"3284";"1988";"1296";3501301
"Álvaro de Carvalho";"2018";"428";"238";"190";3501400
"Alvinlândia";"2018";"378";"235";"143";3501509
"Americana";"2018";"71551";"39091";"32460";3501608
"Américo Brasiliense";"2018";"9642";"6576";"3066";3501707
"Américo de Campos";"2018";"556";"255";"301";3501806
"Amparo";"2018";"23831";"13300";"10531";3501905
"Analândia";"2018";"990";"644";"346";3502002
"Andradina";"2018";"15555";"8971";"6584";3502101
"Angatuba";"2018";"5062";"3214";"1848";3502200
"Anhembi";"2018";"872";"587";"285";3502309
"Anhumas";"2018";"478";"210";"268";3502408
"Aparecida";"2018";"11600";"5955";"5645";3502507
"Aparecida d'Oeste";"2018";"711";"437";"274";3502606
"Apiaí";"2018";"4373";"2635";"1738";3502705
"Aramina";"2018";"716";"326";"390";3503000
"Arandu";"2018";"1365";"926";"439";3503109
"Arapeí";"2018";"376";"227";"149";3503158
"Araraquara";"2018";"73882";"37979";"35903";3503208
"Araras";"2018";"37686";"22528";"15158";3503307
"Araçariguama";"2018";"10032";"6886";"3146";3502754
"Araçatuba";"2018";"52412";"29315";"23097";3502804
"Araçoiaba da Serra";"2018";"5311";"2980";"2331";3502903
"Arco-Íris";"2018";"338";"203";"135";3503356
"Arealva";"2018";"1508";"878";"630";3503406
"Areias";"2018";"542";"369";"173";3503505
"Areiópolis";"2018";"1209";"662";"547";3503604
"Ariranha";"2018";"3761";"3002";"759";3503703
"Artur Nogueira";"2018";"9481";"4696";"4785";3503802
"Arujá";"2018";"23014";"14291";"8723";3503901
"Aspásia";"2018";"224";"109";"115";3503950
"Assis";"2018";"21567";"11727";"9840";3504008
"Atibaia";"2018";"39243";"20920";"18323";3504107
"Auriflama";"2018";"2717";"1219";"1498";3504206
"Avaí";"2018";"1175";"696";"479";3504305
"Avanhandava";"2018";"1787";"1204";"583";3504404
"Avaré";"2018";"21934";"11658";"10276";3504503
"Bady Bassitt";"2018";"2717";"1627";"1090";3504602
"Balbinos";"2018";"385";"179";"206";3504701
"Bálsamo";"2018";"1331";"955";"376";3504800
"Bananal";"2018";"1716";"1187";"529";3504909
"Barão de Antonina";"2018";"607";"300";"307";3505005
"Barbosa";"2018";"709";"355";"354";3505104
"Bariri";"2018";"8602";"5264";"3338";3505203
"Barra Bonita";"2018";"11436";"7599";"3837";3505302
"Barra do Chapéu";"2018";"711";"475";"236";3505351
"Barra do Turvo";"2018";"631";"316";"315";3505401
"Barretos";"2018";"32003";"17280";"14723";3505500
"Barrinha";"2018";"3864";"2356";"1508";3505609
"Barueri";"2018";"251637";"130693";"120944";3505708
"Bastos";"2018";"7530";"4309";"3221";3505807
"Batatais";"2018";"15266";"9204";"6062";3505906
"Bauru";"2018";"124826";"70960";"53866";3506003
"Bebedouro";"2018";"26817";"16784";"10033";3506102
"Bento de Abreu";"2018";"883";"666";"217";3506201
"Bernardino de Campos";"2018";"2077";"1188";"889";3506300
"Bertioga";"2018";"13070";"8094";"4976";3506359
"Bilac";"2018";"1454";"921";"533";3506409
"Birigui";"2018";"31978";"16224";"15754";3506508
"Biritiba Mirim";"2018";"3779";"2093";"1686";3506607
"Boa Esperança do Sul";"2018";"3231";"2014";"1217";3506706
"Bocaina";"2018";"3398";"2310";"1088";3506805
"Bofete";"2018";"2018";"1373";"645";3506904
"Boituva";"2018";"22922";"14548";"8374";3507001
"Bom Jesus dos Perdões";"2018";"5405";"3394";"2011";3507100
"Bom Sucesso de Itararé";"2018";"617";"429";"188";3507159
"Borá";"2018";"1066";"857";"209";3507209
"Boracéia";"2018";"1370";"921";"449";3507308
"Borborema";"2018";"2738";"1492";"1246";3507407
"Borebi";"2018";"631";"363";"268";3507456
"Botucatu";"2018";"40744";"23584";"17160";3507506
"Bragança Paulista";"2018";"44650";"23735";"20915";3507605
"Braúna";"2018";"509";"294";"215";3507704
"Brejo Alegre";"2018";"671";"491";"180";3507753
"Brodowski";"2018";"4814";"2535";"2279";3507803
"Brotas";"2018";"7006";"4401";"2605";3507902
"Buri";"2018";"4782";"3209";"1573";3508009
"Buritama";"2018";"4492";"3010";"1482";3508108
"Buritizal";"2018";"1700";"1391";"309";3508207
"Cabrália Paulista";"2018";"791";"518";"273";3508306
"Cabreúva";"2018";"14126";"8789";"5337";3508405
"Cachoeira Paulista";"2018";"5279";"2734";"2545";3508603
"Caconde";"2018";"2021";"1139";"882";3508702
"Cafelândia";"2018";"3948";"2415";"1533";3508801
"Caiabu";"2018";"385";"162";"223";3508900
"Caieiras";"2018";"19541";"12625";"6916";3509007
"Caiuá";"2018";"563";"324";"239";3509106
"Cajamar";"2018";"39085";"23839";"15246";3509205
"Cajati";"2018";"6370";"4504";"1866";3509254
"Cajobi";"2018";"1399";"764";"635";3509304
"Cajuru";"2018";"4887";"2765";"2122";3509403
"Campina do Monte Alegre";"2018";"792";"415";"377";3509452
"Campinas";"2018";"406651";"212890";"193761";3509502
"Campo Limpo Paulista";"2018";"12789";"7945";"4844";3509601
"Campos do Jordão";"2018";"12859";"6638";"6221";3509700
"Campos Novos Paulista";"2018";"707";"451";"256";3509809
"Cananéia";"2018";"1550";"855";"695";3509908
"Canas";"2018";"959";"670";"289";3509957
"Cândido Mota";"2018";"5701";"3690";"2011";3510005
"Cândido Rodrigues";"2018";"699";"371";"328";3510104
"Canitar";"2018";"722";"474";"248";3510153
"Capão Bonito";"2018";"8046";"4790";"3256";3510203
"Capela do Alto";"2018";"3825";"2454";"1371";3510302
"Capivari";"2018";"15285";"8465";"6820";3510401
"Caraguatatuba";"2018";"23853";"11831";"12022";3510500
"Carapicuíba";"2018";"34525";"20318";"14207";3510609
"Cardoso";"2018";"1378";"745";"633";3510708
"Casa Branca";"2018";"6693";"3989";"2704";3510807
"Cássia dos Coqueiros";"2018";"494";"257";"237";3510906
"Castilho";"2018";"2898";"1776";"1122";3511003
"Catanduva";"2018";"36095";"20101";"15994";3511102
"Catiguá";"2018";"699";"354";"345";3511201
"Caçapava";"2018";"21823";"13697";"8126";3508504
"Cedral";"2018";"4610";"2134";"2476";3511300
"Cerqueira César";"2018";"4324";"2612";"1712";3511409
"Cerquilho";"2018";"12360";"7232";"5128";3511508
"Cesário Lange";"2018";"3509";"2132";"1377";3511607
"Charqueada";"2018";"2503";"1500";"1003";3511706
"Chavantes";"2018";"1686";"975";"711";3557204
"Clementina";"2018";"3267";"2796";"471";3511904
"Colina";"2018";"5129";"3304";"1825";3512001
"Colômbia";"2018";"4138";"3041";"1097";3512100
"Conchal";"2018";"5510";"3011";"2499";3512209
"Conchas";"2018";"3360";"1876";"1484";3512308
"Cordeirópolis";"2018";"9592";"6298";"3294";3512407
"Coroados";"2018";"967";"643";"324";3512506
"Coronel Macedo";"2018";"775";"519";"256";3512605
"Corumbataí";"2018";"1120";"785";"335";3512704
"Cosmópolis";"2018";"9400";"5246";"4154";3512803
"Cosmorama";"2018";"2179";"1677";"502";3512902
"Cotia";"2018";"73455";"40497";"32958";3513009
"Cravinhos";"2018";"9034";"5592";"3442";3513108
"Cristais Paulista";"2018";"1662";"1124";"538";3513207
"Cruzália";"2018";"382";"209";"173";3513306
"Cruzeiro";"2018";"16441";"10701";"5740";3513405
"Cubatão";"2018";"29204";"19945";"9259";3513504
"Cunha";"2018";"2277";"1383";"894";3513603
"Descalvado";"2018";"9699";"6386";"3313";3513702
"Diadema";"2018";"88341";"54353";"33988";3513801
"Dirce Reis";"2018";"313";"223";"90";3513850
"Divinolândia";"2018";"2206";"1017";"1189";3513900
"Dobrada";"2018";"740";"417";"323";3514007
"Dois Córregos";"2018";"5084";"2934";"2150";3514106
"Dolcinópolis";"2018";"245";"115";"130";3514205
"Dourado";"2018";"2792";"1712";"1080";3514304
"Dracena";"2018";"11426";"6250";"5176";3514403
"Duartina";"2018";"2218";"1291";"927";3514502
"Dumont";"2018";"2028";"1150";"878";3514601
"Echaporã";"2018";"873";"538";"335";3514700
"Eldorado";"2018";"2245";"1507";"738";3514809
"Elias Fausto";"2018";"5150";"3703";"1447";3514908
"Elisiário";"2018";"555";"375";"180";3514924
"Embaúba";"2018";"345";"186";"159";3514957
"Embu das Artes";"2018";"44260";"26328";"17932";3515004
"Embu-Guaçu";"2018";"8239";"4774";"3465";3515103
"Emilianópolis";"2018";"340";"177";"163";3515129
"Engenheiro Coelho";"2018";"4512";"2675";"1837";3515152
"Espírito Santo do Pinhal";"2018";"11708";"6606";"5102";3515186
"Espírito Santo do Turvo";"2018";"426";"197";"229";3515194
"Estiva Gerbi";"2018";"2346";"1632";"714";3557303
"Estrela d'Oeste";"2018";"3328";"1998";"1330";3515202
"Estrela do Norte";"2018";"315";"134";"181";3515301
"Euclides da Cunha Paulista";"2018";"744";"359";"385";3515350
"Fartura";"2018";"3849";"2062";"1787";3515400
"Fernando Prestes";"2018";"1341";"763";"578";3515608
"Fernandópolis";"2018";"16578";"9326";"7252";3515509
"Fernão";"2018";"359";"221";"138";3515657
"Ferraz de Vasconcelos";"2018";"19189";"11240";"7949";3515707
"Flora Rica";"2018";"258";"138";"120";3515806
"Floreal";"2018";"464";"266";"198";3515905
"Flórida Paulista";"2018";"1480";"900";"580";3516002
"Florínea";"2018";"503";"309";"194";3516101
"Franca";"2018";"84733";"44939";"39794";3516200
"Francisco Morato";"2018";"9843";"4237";"5606";3516309
"Franco da Rocha";"2018";"16506";"8504";"8002";3516408
"Gabriel Monteiro";"2018";"911";"359";"552";3516507
"Gália";"2018";"1366";"871";"495";3516606
"Garça";"2018";"10613";"6091";"4522";3516705
"Gastão Vidigal";"2018";"358";"209";"149";3516804
"Gavião Peixoto";"2018";"4081";"3157";"924";3516853
"General Salgado";"2018";"1467";"774";"693";3516903
"Getulina";"2018";"1097";"662";"435";3517000
"Glicério";"2018";"927";"525";"402";3517109
"Guaimbê";"2018";"610";"378";"232";3517307
"Guaíra";"2018";"14517";"10737";"3780";3517406
"Guaiçara";"2018";"1525";"837";"688";3517208
"Guapiara";"2018";"2010";"1277";"733";3517604
"Guapiaçu";"2018";"4329";"2556";"1773";3517505
"Guará";"2018";"2707";"1468";"1239";3517703
"Guaraci";"2018";"2336";"1551";"785";3517901
"Guarani d'Oeste";"2018";"314";"156";"158";3518008
"Guarantã";"2018";"1215";"756";"459";3518107
"Guararapes";"2018";"6490";"4139";"2351";3518206
"Guararema";"2018";"7553";"4350";"3203";3518305
"Guaratinguetá";"2018";"31074";"19188";"11886";3518404
"Guaraçaí";"2018";"1380";"788";"592";3517802
"Guareí";"2018";"2379";"1387";"992";3518503
"Guariba";"2018";"7089";"4519";"2570";3518602
"Guarujá";"2018";"48072";"27024";"21048";3518701
"Guarulhos";"2018";"329917";"197488";"132429";3518800
"Guatapará";"2018";"1355";"758";"597";3518859
"Guzolândia";"2018";"582";"299";"283";3518909
"Herculândia";"2018";"1297";"826";"471";3519006
"Holambra";"2018";"9978";"4573";"5405";3519055
"Hortolândia";"2018";"43236";"25584";"17652";3519071
"Iacanga";"2018";"3424";"2416";"1008";3519105
"Iacri";"2018";"912";"564";"348";3519204
"Iaras";"2018";"1621";"976";"645";3519253
"Ibaté";"2018";"5968";"3987";"1981";3519303
"Ibirá";"2018";"2076";"1145";"931";3519402
"Ibirarema";"2018";"696";"438";"258";3519501
"Ibitinga";"2018";"14689";"7940";"6749";3519600
"Ibiúna";"2018";"14178";"7623";"6555";3519709
"Icém";"2018";"934";"487";"447";3519808
"Iepê";"2018";"1112";"639";"473";3519907
"Igarapava";"2018";"5596";"3268";"2328";3520103
"Igaratá";"2018";"1645";"876";"769";3520202
"Igaraçu do Tietê";"2018";"2386";"1180";"1206";3520004
"Iguape";"2018";"2816";"1443";"1373";3520301
"Ilha Comprida";"2018";"1737";"849";"888";3520426
"Ilha Solteira";"2018";"4975";"2524";"2451";3520442
"Ilhabela";"2018";"8679";"4348";"4331";3520400
"Indaiatuba";"2018";"74705";"42823";"31882";3520509
"Indiana";"2018";"643";"389";"254";3520608
"Indiaporã";"2018";"578";"333";"245";3520707
"Inúbia Paulista";"2018";"996";"539";"457";3520806
"Ipaussu";"2018";"3340";"2161";"1179";3520905
"Iperó";"2018";"6407";"3750";"2657";3521002
"Ipeúna";"2018";"1871";"1140";"731";3521101
"Ipiguá";"2018";"1069";"626";"443";3521150
"Iporanga";"2018";"484";"276";"208";3521200
"Ipuã";"2018";"2687";"1489";"1198";3521309
"Iracemápolis";"2018";"6705";"4313";"2392";3521408
"Irapuã";"2018";"880";"479";"401";3521507
"Irapuru";"2018";"676";"334";"342";3521606
"Itaberá";"2018";"2845";"1730";"1115";3521705
"Itaí";"2018";"5594";"3693";"1901";3521804
"Itajobi";"2018";"3595";"2192";"1403";3521903
"Itaju";"2018";"632";"381";"251";3522000
"Itanhaém";"2018";"14181";"6739";"7442";3522109
"Itaoca";"2018";"338";"211";"127";3522158
"Itapecerica da Serra";"2018";"22529";"12114";"10415";3522208
"Itapetininga";"2018";"36350";"21228";"15122";3522307
"Itapeva";"2018";"19886";"12046";"7840";3522406
"Itapevi";"2018";"34051";"19062";"14989";3522505
"Itapira";"2018";"23517";"13942";"9575";3522604
"Itapirapuã Paulista";"2018";"512";"318";"194";3522653
"Itápolis";"2018";"10560";"6488";"4072";3522703
"Itaporanga";"2018";"2264";"1235";"1029";3522802
"Itapuí";"2018";"4330";"2450";"1880";3522901
"Itapura";"2018";"545";"276";"269";3523008
"Itaquaquecetuba";"2018";"41441";"23681";"17760";3523107
"Itararé";"2018";"8447";"4980";"3467";3523206
"Itariri";"2018";"1508";"909";"599";3523305
"Itatiba";"2018";"32826";"19055";"13771";3523404
"Itatinga";"2018";"2889";"1644";"1245";3523503
"Itirapina";"2018";"5044";"2059";"2985";3523602
"Itirapuã";"2018";"762";"495";"267";3523701
"Itobi";"2018";"953";"539";"414";3523800
"Itu";"2018";"55111";"30750";"24361";3523909
"Itupeva";"2018";"27863";"17039";"10824";3524006
"Ituverava";"2018";"7294";"3510";"3784";3524105
"Jaborandi";"2018";"864";"458";"406";3524204
"Jaboticabal";"2018";"21447";"12915";"8532";3524303
"Jacareí";"2018";"49344";"28341";"21003";3524402
"Jaci";"2018";"2548";"1447";"1101";3524501
"Jacupiranga";"2018";"3592";"2451";"1141";3524600
"Jaguariúna";"2018";"34346";"19155";"15191";3524709
"Jales";"2018";"11312";"6078";"5234";3524808
"Jambeiro";"2018";"2497";"1724";"773";3524907
"Jandira";"2018";"18169";"10220";"7949";3525003
"Jardinópolis";"2018";"8932";"4956";"3976";3525102
"Jarinu";"2018";"8627";"4895";"3732";3525201
"Jaú";"2018";"37965";"20637";"17328";3525300
"Jeriquara";"2018";"849";"518";"331";3525409
"Joanópolis";"2018";"2354";"1257";"1097";3525508
"João Ramalho";"2018";"415";"212";"203";3525607
"José Bonifácio";"2018";"9825";"6173";"3652";3525706
"Júlio Mesquita";"2018";"517";"244";"273";3525805
"Jumirim";"2018";"1284";"875";"409";3525854
"Jundiaí";"2018";"165248";"91220";"74028";3525904
"Junqueirópolis";"2018";"5544";"3915";"1629";3526001
"Juquiá";"2018";"2449";"1410";"1039";3526100
"Juquitiba";"2018";"5281";"2063";"3218";3526209
"Lagoinha";"2018";"699";"444";"255";3526308
"Laranjal Paulista";"2018";"9019";"5068";"3951";3526407
"Lavínia";"2018";"726";"416";"310";3526506
"Lavrinhas";"2018";"791";"447";"344";3526605
"Leme";"2018";"22237";"12855";"9382";3526704
"Lençóis Paulista";"2018";"18320";"11283";"7037";3526803
"Limeira";"2018";"81885";"46779";"35106";3526902
"Lindóia";"2018";"1925";"1150";"775";3527009
"Lins";"2018";"24873";"14740";"10133";3527108
"Lorena";"2018";"16951";"9546";"7405";3527207
"Lourdes";"2018";"245";"94";"151";3527256
"Louveira";"2018";"16995";"10211";"6784";3527306
"Lucélia";"2018";"8288";"2942";"5346";3527405
"Lucianópolis";"2018";"949";"671";"278";3527504
"Luís Antônio";"2018";"6816";"5133";"1683";3527603
"Luiziânia";"2018";"465";"246";"219";3527702
"Lupércio";"2018";"570";"373";"197";3527801
"Lutécia";"2018";"447";"271";"176";3527900
"Macatuba";"2018";"3256";"1754";"1502";3528007
"Macaubal";"2018";"1800";"1116";"684";3528106
"Macedônia";"2018";"486";"306";"180";3528205
"Magda";"2018";"620";"390";"230";3528304
"Mairinque";"2018";"9976";"4942";"5034";3528403
"Mairiporã";"2018";"13310";"7698";"5612";3528502
"Manduri";"2018";"1509";"920";"589";3528601
"Marabá Paulista";"2018";"615";"388";"227";3528700
"Maracaí";"2018";"2686";"1758";"928";3528809
"Marapoama";"2018";"1603";"1216";"387";3528858
