"Localidades";"Períodos";"Rendimento Médio do Total de Empregos Formais (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Indústria (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Construção (Em reais correntes)";"Rendimento Médio dos Empregos Formais do Comércio Atacadista e Varejista e do Comércio e Reparação de Veículos Automotores e Motocicletas (Em reais correntes)";"Rendimento Médio dos Empregos Formais dos Serviços (Em reais correntes)";"Cód. IBGE"
"Guaraçaí";"2018";"1978,77";"1787,68";"1894,43";"-";"1585,78";"2293,3";3517802
"Guareí";"2018";"1841,87";"1604,79";"1756,39";"1812,86";"1405,89";"2285,01";3518503
"Guariba";"2018";"2609,37";"1893,58";"3277,95";"2428,27";"2038,23";"2269,94";3518602
"Guarujá";"2018";"2997,22";"2375,81";"4674,2";"2234,73";"1969,51";"3327,17";3518701
"Guarulhos";"2018";"3373,59";"1353,29";"3873,56";"2486,52";"2459,84";"3554,6";3518800
"Guatapará";"2018";"2236,85";"1732,01";"2309,03";"1617,4";"1752,18";"2534,35";3518859
"Guzolândia";"2018";"1891,98";"1560,88";"1343,41";"2000";"1720,78";"2381,72";3518909
"Herculândia";"2018";"2183,42";"1665,91";"2604,49";"1416,92";"1614,79";"2554,41";3519006
"Holambra";"2018";"2345,81";"2075,5";"2773,23";"2179,55";"2940,09";"2308,81";3519055
"Hortolândia";"2018";"4271,24";"1629,67";"5553,05";"1953,64";"4566,71";"3116,11";3519071
"Iacanga";"2018";"2272,02";"1664,56";"2481,62";"2157,51";"1815,23";"2474,85";3519105
"Iacri";"2018";"1911,97";"1552,98";"1943,56";"2213,13";"1649,38";"2254,1";3519204
"Iaras";"2018";"2673";"2073,28";"2038,73";"1346,69";"1715,44";"3217,02";3519253
"Ibaté";"2018";"2515,36";"1925,44";"3179,2";"2099,6";"1754,25";"2488,98";3519303
"Ibirá";"2018";"2123,37";"2301,38";"2206,84";"1678,68";"1597,5";"2378,14";3519402
"Ibirarema";"2018";"2270,61";"2147,83";"2550,03";"1420";"1779,5";"2448,21";3519501
"Ibitinga";"2018";"1875,11";"1700,77";"1662,66";"3171,67";"1752,86";"2305,95";3519600
"Ibiúna";"2018";"2205,95";"1402,06";"3401,52";"2385,04";"1720,12";"2503,64";3519709
"Icém";"2018";"2419,99";"1974,73";"3109,73";"-";"1609,98";"2493,59";3519808
"Iepê";"2018";"2328,57";"1834,73";"1971,02";"4746,82";"1928,79";"2552,47";3519907
"Igarapava";"2018";"2572,79";"1989,18";"3038,37";"2106,06";"1728,19";"2836,73";3520103
"Igaratá";"2018";"2002,46";"1358,08";"2409,68";"1744,65";"1732,34";"2048,15";3520202
"Igaraçu do Tietê";"2018";"2004,99";"1600,1";"2263,19";"1517,62";"1743,45";"2179,89";3520004
"Iguape";"2018";"2081,1";"1376,72";"2576,12";"1559,89";"1532,84";"2414,99";3520301
"Ilha Comprida";"2018";"2565,1";"-";"2563,06";"1534";"1699,59";"3008,53";3520426
"Ilha Solteira";"2018";"3262,11";"2046,36";"2374,62";"3636,41";"1916,99";"3902,04";3520442
"Ilhabela";"2018";"2720,34";"1755,74";"3824,35";"3037,49";"1767,92";"2983,07";3520400
"Indaiatuba";"2018";"3439,53";"2359,37";"4623,04";"2266,49";"2432,62";"3111,03";3520509
"Indiana";"2018";"1784,21";"1639,11";"1456,34";"1976,21";"1844,37";"1958,39";3520608
"Indiaporã";"2018";"1908,41";"1491,6";"1917,79";"-";"1595,01";"2150,81";3520707
"Inúbia Paulista";"2018";"2303,58";"2304,6";"1349,86";"2057,61";"2694,31";"2063,87";3520806
"Ipaussu";"2018";"2182,56";"1596,24";"2545,87";"1240,6";"1652,13";"1987,89";3520905
"Iperó";"2018";"2343,89";"1396,01";"2694,86";"2346,65";"1920,55";"2171,6";3521002
"Ipeúna";"2018";"2484,9";"1381,85";"2552,01";"2305,23";"1823,73";"2888,85";3521101
"Ipiguá";"2018";"2174,8";"1867,64";"2680,15";"1710,61";"1639,2";"2298,9";3521150
"Iporanga";"2018";"2158,9";"1452,75";"5022,43";"-";"1590,4";"2273,08";3521200
"Ipuã";"2018";"2017,99";"2234,7";"2010,27";"1294,78";"1497,97";"2205,34";3521309
"Iracemápolis";"2018";"2928,9";"2512,08";"3312,85";"2005,8";"1966,65";"2738,8";3521408
"Irapuã";"2018";"1924,79";"1740,15";"1586,57";"1263,8";"1506,48";"2355,48";3521507
"Irapuru";"2018";"2432,34";"1508,08";"1607,09";"1491,05";"1619,22";"2850,1";3521606
"Itaberá";"2018";"2104,76";"2375,21";"1695,95";"1560,12";"1694,47";"2320,33";3521705
"Itaí";"2018";"2321,16";"2260,36";"3199,95";"1608,85";"2083,64";"2396,14";3521804
"Itajobi";"2018";"2169,77";"1616,3";"2317,47";"2450,06";"1907,11";"2352,89";3521903
"Itaju";"2018";"1954,16";"1745,18";"1967,92";"2195,2";"1691,11";"2075,52";3522000
"Itanhaém";"2018";"2320,12";"1230,84";"2141,36";"1873,85";"1883,6";"2554,18";3522109
"Itaoca";"2018";"2291,35";"1157,84";"3861,61";"2670,03";"1391,85";"2452,69";3522158
"Itapecerica da Serra";"2018";"2653,62";"1558,89";"3402,76";"2172,09";"1918,62";"2852,73";3522208
"Itapetininga";"2018";"2171,76";"2030,46";"2504,05";"2028,74";"1849,39";"2238,03";3522307
"Itapeva";"2018";"2044,23";"1717,69";"2716,64";"1739,86";"1744,83";"2258,4";3522406
"Itapevi";"2018";"4018,83";"1978,28";"6770,11";"1906,14";"2497,15";"3052,54";3522505
"Itapira";"2018";"2741,59";"2461,54";"3214,57";"2341,12";"2192,91";"2536,86";3522604
"Itapirapuã Paulista";"2018";"1674,3";"1343,21";"-";"-";"1435,18";"2063,97";3522653
"Itápolis";"2018";"2078,59";"1824,85";"2043,49";"1685,82";"1783,02";"2610,71";3522703
"Itaporanga";"2018";"1913,86";"1736,96";"2098,51";"1566,08";"1559,28";"2082,84";3522802
"Itapuí";"2018";"2004,62";"1756,31";"1929,74";"2023,49";"1909,42";"2433,18";3522901
"Itapura";"2018";"2074,95";"1904,75";"3920,37";"1162,17";"1576,19";"2324,84";3523008
"Itaquaquecetuba";"2018";"2584,36";"1596,98";"2540,06";"2298,14";"1980,4";"3086,38";3523107
"Itararé";"2018";"1897,86";"2038,75";"1934,98";"1409,22";"1597,42";"2124,59";3523206
"Itariri";"2018";"2058,25";"1335,65";"2657,24";"1934,81";"1571,37";"2493,55";3523305
"Itatiba";"2018";"3011,34";"1734,25";"4023,58";"2730,72";"2075,36";"2575,22";3523404
"Itatinga";"2018";"2035,23";"1734,97";"1941,36";"3001,69";"1616,08";"2536,88";3523503
"Itirapina";"2018";"2110,24";"2632,18";"3279,47";"2147,05";"1693,77";"1785,35";3523602
"Itirapuã";"2018";"1945,96";"1704,22";"1740,09";"-";"1548,51";"2439,44";3523701
"Itobi";"2018";"1861,45";"1671,61";"2655,09";"-";"1708,14";"1961,05";3523800
"Itu";"2018";"2800,83";"1820,05";"3533,68";"2513,45";"2217,8";"2615,32";3523909
"Itupeva";"2018";"3448,75";"1851,59";"4092,28";"3041,15";"2699,54";"3191,92";3524006
"Ituverava";"2018";"2230,96";"1923,15";"2281,77";"1588,11";"1789,84";"2459,42";3524105
"Jaborandi";"2018";"2004,27";"2198,22";"2250,24";"-";"1570,41";"2040,98";3524204
"Jaboticabal";"2018";"2880,69";"2733,8";"3263,73";"2530,96";"2142,8";"3179,37";3524303
"Jacareí";"2018";"3243,26";"4134,34";"5307,15";"2247,6";"1901,57";"2604,82";3524402
"Jaci";"2018";"2304,93";"2152,82";"2079,71";"2548,42";"1810";"2664,21";3524501
"Jacupiranga";"2018";"1843,84";"1450,98";"2307,24";"1605,62";"1718,55";"2034,32";3524600
"Jaguariúna";"2018";"3494,4";"2220,07";"4037,28";"2404,66";"3144,41";"3211,05";3524709
"Jales";"2018";"2185,36";"1544,09";"2475,41";"1868,11";"1877,6";"2376,25";3524808
"Jambeiro";"2018";"3104,21";"1967,42";"3611,98";"3674,15";"1704,79";"2115,13";3524907
"Jandira";"2018";"3118,92";"-";"4215,97";"2270,69";"2222,99";"2697,13";3525003
"Jardinópolis";"2018";"2530,58";"4037,08";"2273,81";"2630,71";"2136,91";"2522,36";3525102
"Jarinu";"2018";"3000,97";"1504,26";"3792,78";"2044,85";"2560,1";"2619,81";3525201
"Jaú";"2018";"2264,12";"1816,06";"2159,62";"2340,62";"2024,45";"2501,44";3525300
"Jeriquara";"2018";"1789,65";"1602,62";"2161,43";"1450,56";"1772,77";"1973,74";3525409
"Joanópolis";"2018";"1829,79";"1347,7";"1622,89";"1491,09";"1534,07";"2263,43";3525508
"João Ramalho";"2018";"2146,97";"1540,77";"1622,41";"1500";"1606,38";"2496,58";3525607
"José Bonifácio";"2018";"2203,68";"2677,97";"2206,73";"1860,84";"1730,99";"2391,54";3525706
"Júlio Mesquita";"2018";"1686,59";"1637,74";"1400";"-";"1489,09";"1728,26";3525805
"Jumirim";"2018";"2287,99";"1822,42";"2222,07";"1579,67";"2015,14";"2793,15";3525854
"Jundiaí";"2018";"3382,49";"1647,63";"4594,87";"2523,27";"2847,16";"3081,78";3525904
"Junqueirópolis";"2018";"2623,6";"2135,21";"2955,02";"2287,9";"2559,57";"2366,4";3526001
"Juquiá";"2018";"1887,11";"1287,09";"2003,03";"1532,47";"1862,92";"2144,64";3526100
"Juquitiba";"2018";"1869,9";"1447,5";"2842,18";"2144,74";"1748,12";"1810,77";3526209
"Lagoinha";"2018";"1688,22";"1304,5";"2316,35";"1385,09";"1527,93";"1833,37";3526308
"Laranjal Paulista";"2018";"2172,99";"1885,66";"2296,84";"1886,03";"1921,33";"2140,16";3526407
"Lavínia";"2018";"2239,96";"1875,66";"-";"-";"1634,75";"2538,08";3526506
"Lavrinhas";"2018";"1862,86";"1212,98";"2512,45";"-";"1655,81";"1723,6";3526605
"Leme";"2018";"2464,65";"2282,02";"2549,8";"1896,36";"2118,29";"2694,7";3526704
"Lençóis Paulista";"2018";"2802,14";"2709,99";"3618,35";"2100,43";"1948,16";"2792,15";3526803
"Limeira";"2018";"2941,74";"1764,1";"3606,54";"2916,44";"2148,51";"2796,02";3526902
"Lindóia";"2018";"2273,94";"1695,55";"2285,99";"2002,89";"1702,7";"2573,22";3527009
"Lins";"2018";"2569,02";"2124,41";"2778,42";"2097,15";"2090,05";"2670,84";3527108
"Lorena";"2018";"2581,24";"1296,61";"3345,03";"2757,61";"1914,33";"2538,7";3527207
"Lourdes";"2018";"2349,41";"1532,38";"2437,91";"1254";"1451,72";"2550,22";3527256
"Louveira";"2018";"3433,04";"1464,49";"4241,85";"2025,05";"2585,32";"3304,34";3527306
"Lucélia";"2018";"1578,97";"1827,42";"2352,59";"1878,37";"1829,16";"1393,55";3527405
"Lucianópolis";"2018";"1637,69";"1335,01";"1503,41";"1556,25";"1413,83";"2786,69";3527504
"Luís Antônio";"2018";"2891,64";"2177,97";"5378,76";"1755,63";"1582,98";"2704,47";3527603
"Luiziânia";"2018";"2169,65";"1656,37";"1666,4";"-";"1641,87";"2553,87";3527702
"Lupércio";"2018";"2216,55";"1790,59";"2350,84";"1123";"1544,77";"2602,92";3527801
"Lutécia";"2018";"1851,29";"1754,18";"2239,29";"1619,09";"1580,49";"1878,59";3527900
"Macatuba";"2018";"2589,29";"3716,61";"2151,77";"1821,68";"1799,58";"2701,61";3528007
"Macaubal";"2018";"2299,18";"1584,19";"1928,94";"-";"1738,55";"2512,53";3528106
"Macedônia";"2018";"2026,82";"1741,18";"2174,11";"-";"1517,07";"2199,83";3528205
"Magda";"2018";"2371,18";"2417,4";"1861,46";"1381,66";"1673,54";"2842,77";3528304
"Mairinque";"2018";"2478,09";"1469,54";"3460,54";"2122,66";"1731,41";"2209,81";3528403
"Mairiporã";"2018";"2373,94";"1599,46";"2720,98";"2408,32";"1860,59";"2423,64";3528502
"Manduri";"2018";"1940,65";"1704,15";"2057,27";"2128,86";"1552,83";"2197,2";3528601
"Marabá Paulista";"2018";"2216,7";"1785,05";"1419,29";"-";"1771,54";"2602,45";3528700
"Maracaí";"2018";"2447,78";"2672,4";"3026,66";"1887,08";"1848,35";"2408,96";3528809
"Marapoama";"2018";"2724,29";"2096,04";"2977,3";"2017,55";"1872,37";"3293,18";3528858
"Mariápolis";"2018";"1996,43";"1905,25";"4619,01";"-";"1621,27";"2070,26";3528908
"Marília";"2018";"2632,27";"1673,98";"2830,72";"2204,69";"2016,03";"2891,25";3529005
"Marinópolis";"2018";"2044,72";"1572,96";"6808,71";"-";"1666,37";"2247,25";3529104
"Martinópolis";"2018";"2150,31";"1859,85";"2507,81";"1533,08";"1770,99";"2296,37";3529203
"Matão";"2018";"2852,25";"1814,91";"4292,22";"2872,59";"1945,82";"2489,67";3529302
"Mauá";"2018";"3085,4";"1405,09";"4162,78";"2403,61";"2361,96";"2713,85";3529401
"Mendonça";"2018";"2607,22";"2838,14";"2303,19";"2300,47";"1837,51";"2609,08";3529500
"Meridiano";"2018";"2786,06";"1905,32";"3015,01";"1880,08";"1953,12";"2441,37";3529609
"Mesópolis";"2018";"2640,56";"1941,94";"5129,87";"-";"1481,47";"2869,37";3529658
"Miguelópolis";"2018";"2377,01";"2160,75";"3136,16";"2455,74";"1525,28";"2831,14";3529708
"Mineiros do Tietê";"2018";"1996,55";"1882,93";"2321,5";"1474,52";"1679,99";"2087,1";3529807
"Mira Estrela";"2018";"2010,35";"1908,93";"2270,22";"954";"1516,13";"2117,42";3530003
"Miracatu";"2018";"1920,29";"1325,75";"2799,23";"1396,29";"1733,79";"2083,76";3529906
"Mirandópolis";"2018";"2321,38";"1536,52";"3040,36";"1763,31";"1645,44";"2667,08";3530102
"Mirante do Paranapanema";"2018";"2502,8";"1516,75";"3070,82";"1704,95";"1616,96";"2161,23";3530201
"Mirassol";"2018";"2509,69";"1980,08";"2250,9";"3313,79";"2079,7";"3086,56";3530300
"Mirassolândia";"2018";"2067,66";"1731,61";"2386,64";"-";"1618,73";"2107,56";3530409
"Mococa";"2018";"2366,52";"1666,64";"2758,86";"2221,54";"2060,98";"2675,69";3530508
"Mogi das Cruzes";"2018";"2608,81";"1404,22";"3578,06";"2370,19";"1997,68";"2607,87";3530607
"Mogi Guaçu";"2018";"2769,88";"1864,28";"3865,58";"2538,86";"2249,93";"2528,88";3530706
"Mogi Mirim";"2018";"2950,58";"1852,31";"3560,81";"2543,83";"2209,83";"3048,04";3530805
"Mombuca";"2018";"2383,66";"1539,25";"2530,67";"1720,94";"1386,73";"2536,9";3530904
"Mongaguá";"2018";"2640,12";"1587,95";"2669,64";"1967,88";"1978,33";"3076,29";3531100
"Monte Alegre do Sul";"2018";"2032,31";"1497,22";"1948,05";"1726,16";"1773,65";"2226,52";3531209
"Monte Alto";"2018";"2482,16";"1713,27";"3135,43";"1787,05";"1847,03";"2250,72";3531308
"Monte Aprazível";"2018";"2524,43";"1722,3";"3195,09";"2887,39";"1793,07";"2584,29";3531407
"Monte Azul Paulista";"2018";"2210,97";"2001,65";"2994,99";"1953,72";"1827,54";"2519,76";3531506
"Monte Castelo";"2018";"2103,91";"1875,02";"1954,39";"1700";"1652,54";"2367,67";3531605
"Monte Mor";"2018";"3343,21";"2086,29";"4668,54";"1969,11";"2009,63";"2611,38";3531803
"Monteiro Lobato";"2018";"1909,55";"1357,05";"2119,65";"1301,41";"1687,29";"2101,86";3531704
"Monções";"2018";"2642,42";"2532,63";"2880,08";"1623,59";"1510,18";"3007,37";3531001
"Morro Agudo";"2018";"2528,87";"2731,13";"2846,35";"1660,3";"1746,44";"2388,03";3531902
"Morungaba";"2018";"1995,93";"1717,57";"2262,34";"2098,48";"1799,35";"1810,08";3532009
"Motuca";"2018";"2421,08";"3164,07";"1730,47";"1592,63";"1710,66";"2954,82";3532058
"Murutinga do Sul";"2018";"2043,59";"1790,49";"2023,83";"-";"1506,3";"2229,56";3532108
"Nantes";"2018";"2493,01";"1845,41";"-";"-";"2146,2";"2873,28";3532157
"Narandiba";"2018";"2717,44";"2589,7";"3296,46";"-";"1751,35";"2322,91";3532207
"Natividade da Serra";"2018";"2189,41";"1410,67";"3208,99";"2085,68";"1481,75";"2583,97";3532306
"Nazaré Paulista";"2018";"2664,76";"1392,61";"3351,58";"3604,78";"1697,14";"2471,61";3532405
"Neves Paulista";"2018";"2170,48";"1653,79";"2134,93";"1895,52";"1951,2";"2751,79";3532504
"Nhandeara";"2018";"2197,6";"1770,5";"2469,54";"2037,88";"1792,01";"2433,93";3532603
"Nipoã";"2018";"2074,08";"1643,01";"1898,92";"1849,84";"1539,4";"2437,44";3532702
"Nova Aliança";"2018";"1981,42";"1921,33";"1883,19";"1595,86";"1580,65";"2371,86";3532801
"Nova Campina";"2018";"2506,18";"1700,92";"3298,93";"1681,11";"1474,49";"2057,72";3532827
"Nova Canaã Paulista";"2018";"2488,01";"1751,06";"6958,29";"-";"1732,43";"2631,07";3532843
"Nova Castilho";"2018";"2917,25";"1722,98";"1107,06";"-";"1332,52";"3516,75";3532868
"Nova Europa";"2018";"2528,95";"2086,53";"2588,55";"3975,68";"2022,45";"2521,69";3532900
"Nova Granada";"2018";"2093,56";"2291,1";"2129,53";"1984,38";"1653,82";"2252,27";3533007
"Nova Guataporanga";"2018";"1993,07";"1367,29";"3122,67";"-";"1806,81";"2067,59";3533106
"Nova Independência";"2018";"2898,64";"1860,05";"3260,55";"2402,71";"1711,35";"2363,71";3533205
"Nova Luzitânia";"2018";"2169,51";"1633,32";"3432,36";"-";"1630,68";"2293,09";3533304
"Nova Odessa";"2018";"3039,47";"2147,9";"3344,05";"2490,17";"2770,76";"2690,39";3533403
"Novais";"2018";"1893,08";"1600,11";"1681,14";"-";"1839,76";"1965,24";3533254
"Novo Horizonte";"2018";"2538,12";"2835,14";"3053,82";"1984,66";"1778,43";"2410,03";3533502
"Nuporanga";"2018";"1938,67";"2287,3";"1720,18";"3326,65";"1788,15";"2258,14";3533601
"Ocauçu";"2018";"2138,47";"1412";"2036,98";"1769,9";"1712,85";"3424,44";3533700
"Óleo";"2018";"2036,61";"1449,67";"-";"2029,25";"1985,64";"2464,75";3533809
"Olímpia";"2018";"2624,97";"2118,76";"3599,69";"2315,65";"1943,54";"2375,49";3533908
"Onda Verde";"2018";"2422,31";"2141,86";"2728,58";"-";"1794,13";"2221,31";3534005
"Oriente";"2018";"2364,64";"1716,02";"2405,34";"1353,77";"1564,85";"2668,71";3534104
"Orindiúva";"2018";"3561,27";"2464,17";"3975,5";"1769,15";"1505,34";"2913,11";3534203
"Orlândia";"2018";"2796,97";"2856,54";"3493,08";"2164,7";"2154,18";"2750,72";3534302
"Osasco";"2018";"3227,04";"1340,25";"4174,99";"2402,18";"2424,79";"3507,71";3534401
"Oscar Bressane";"2018";"1898,49";"1552,45";"2053,24";"-";"1637,55";"1955,09";3534500
"Osvaldo Cruz";"2018";"1904,96";"1502,82";"1912,09";"1830,5";"1720,37";"2033,78";3534609
"Ourinhos";"2018";"2395,93";"2362,48";"2634,72";"2171,67";"2024,35";"2522,1";3534708
"Ouro Verde";"2018";"2249,69";"2012,26";"1524,03";"1774,52";"1765,97";"2577,3";3534807
"Ouroeste";"2018";"2883,4";"1879,26";"2940,83";"2741,07";"1688,32";"3713,88";3534757
"Pacaembu";"2018";"2514,64";"1753,29";"1777,52";"2208,66";"1565,27";"2790,75";3534906
"Palestina";"2018";"2633,79";"3052,62";"2158,74";"1601,42";"1666,71";"2520,11";3535002
"Palmares Paulista";"2018";"2132,93";"2103,95";"1914,07";"-";"1709,38";"2361,98";3535101
"Palmeira d'Oeste";"2018";"1962,13";"1427,57";"2363,79";"1863,2";"1586,95";"2375,51";3535200
"Palmital";"2018";"2505,99";"2291,62";"3214";"1376,45";"1902,36";"2569,85";3535309
"Panorama";"2018";"1973,34";"2010,39";"1840,69";"2017,15";"1657,49";"2265,98";3535408
"Paraguaçu Paulista";"2018";"2605,86";"3098,88";"2863,11";"2296,64";"1652,26";"2201,87";3535507
"Paraibuna";"2018";"2240,42";"1414,4";"3452,46";"1310,78";"2177,56";"2106,15";3535606
"Paraíso";"2018";"3174,72";"2109";"3180,79";"1944,85";"4078,66";"2791,25";3535705
"Paranapanema";"2018";"2151,2";"1788,16";"1911,29";"1839,82";"2266,72";"2492,31";3535804
"Paranapuã";"2018";"2047,75";"1814,64";"4340,17";"2283,72";"1982,09";"2515,89";3535903
"Parapuã";"2018";"2221,51";"1665,59";"2442,24";"2413,7";"2009,79";"2331,63";3536000
"Pardinho";"2018";"2020,14";"2169,64";"2832,8";"1350,39";"1856,47";"1868,71";3536109
"Pariquera-Açu";"2018";"2324,96";"1337,67";"1991,34";"2349,03";"1760,31";"2826,33";3536208
"Parisi";"2018";"2158,93";"1624,94";"1568,58";"1415,78";"1783,59";"2540,41";3536257
"Patrocínio Paulista";"2018";"2623";"1717,25";"2999,71";"1386,61";"1772,04";"2863,67";3536307
"Paulicéia";"2018";"2325,97";"1641,21";"2525,81";"2231,38";"1716,64";"2353,77";3536406
"Paulínia";"2018";"4850,82";"2011,52";"7488,18";"4202,01";"2985,05";"4255,1";3536505
"Paulistânia";"2018";"2454,28";"1589,4";"1730,48";"-";"1499,15";"2897,83";3536570
"Paulo de Faria";"2018";"2355";"2362,11";"2676,31";"1272,97";"1747,95";"2502,64";3536604
"Pederneiras";"2018";"2695,85";"2798,18";"3307,68";"2594,15";"1863,59";"2453,24";3536703
"Pedra Bela";"2018";"1604,12";"1321,58";"1268,6";"1356,32";"1396,78";"2049,43";3536802
"Pedranópolis";"2018";"2063,97";"1728,18";"2344,99";"-";"1559,63";"2195,51";3536901
"Pedregulho";"2018";"2183,32";"1851,81";"3364,32";"1556,52";"1640,72";"2263,62";3537008
"Pedreira";"2018";"2259,44";"1523,62";"2363,34";"1981,82";"1979,2";"2317,01";3537107
"Pedrinhas Paulista";"2018";"2295,81";"1851,19";"2260,18";"1780,66";"2896,49";"2072,42";3537156
"Pedro de Toledo";"2018";"1867,93";"1233,98";"3699,29";"1589,28";"1583,63";"2078,82";3537206
"Penápolis";"2018";"2226,91";"1977,5";"2098,61";"1947,62";"1817,45";"2607,08";3537305
"Pereira Barreto";"2018";"2660,94";"2317,37";"3343,97";"1586,11";"1951,58";"2546,76";3537404
"Pereiras";"2018";"2026,82";"1989,94";"1987,99";"1878";"1656,31";"2296,1";3537503
"Peruíbe";"2018";"2186,52";"1222,72";"2699,42";"2424,14";"1847,65";"2375,04";3537602
"Piacatu";"2018";"1719,32";"2137,01";"1633,04";"1622,44";"1445,85";"1778,58";3537701
"Piedade";"2018";"2075,32";"1511,44";"2787,42";"1805,92";"1797,2";"2251,91";3537800
"Pilar do Sul";"2018";"2049,62";"1871,65";"1949,29";"1536,4";"1864,5";"2250,33";3537909
"Pindamonhangaba";"2018";"3157,73";"1494";"4929,08";"2356,45";"1784,78";"2623,78";3538006
